family_id,occurrences,b31_occurrences,unique_dates,unique_years,previous_time,current_time,median_gap_minutes,gap_std,before_context_availability,after_context_availability,boundary_strength,classification
P126_C126_D2,106,212,201,6,21:59,22:01,2.0,0.0,0.9905660377358491,0.4716981132075472,217.18,VARIABLE_BOUNDARY
P120_C120_D2,129,229,213,6,20:59,21:01,2.0,0.0,0.9844961240310077,0.7829457364341085,215.04,VARIABLE_BOUNDARY
P121_C121_D2,46,190,161,6,21:08,21:10,2.0,0.0,0.3695652173913043,0.5869565217391305,188.9,VARIABLE_BOUNDARY
P127_C127_D2,40,193,167,6,22:08,22:10,2.0,0.0,0.65,0.55,185.2,VARIABLE_BOUNDARY
P121_C120_D2,69,170,164,6,21:03,21:05,2.0,0.0,0.8405797101449275,0.6521739130434783,168.20000000000002,VARIABLE_BOUNDARY
P122_C122_D2,33,184,151,5,21:18,21:20,2.0,0.0,0.6666666666666666,0.5454545454545454,166.1266666666667,VARIABLE_BOUNDARY
P127_C126_D2,64,160,145,6,22:03,22:05,2.0,0.0,0.71875,0.640625,155.5,VARIABLE_BOUNDARY
P128_C128_D2,27,191,159,4,22:18,22:20,2.0,0.0,0.48148148148148145,0.4074074074074074,149.56666666666666,VARIABLE_BOUNDARY
P131_C131_D2,32,180,144,4,22:49,22:51,2.0,0.0,0.59375,0.5,139.2,VARIABLE_BOUNDARY
P125_C125_D2,27,152,131,5,21:48,21:50,2.0,0.0,0.7407407407407407,0.7777777777777778,139.11333333333332,VARIABLE_BOUNDARY
P130_C130_D2,32,177,149,4,22:38,22:40,2.0,0.0,0.59375,0.5,139.1,VARIABLE_BOUNDARY
P123_C123_D2,41,179,157,3,21:28,21:30,2.0,0.0,0.4634146341463415,0.6585365853658537,134.81,VARIABLE_BOUNDARY
P124_C124_D2,31,173,142,3,21:39,21:41,2.0,0.0,0.6129032258064516,0.4838709677419355,127.37,VARIABLE_BOUNDARY
P129_C129_D2,45,160,140,4,22:28,22:30,2.0,0.0,0.4888888888888889,0.5777777777777777,127.33333333333334,VARIABLE_BOUNDARY
P126_C126_D4,5,127,127,6,22:00,22:04,4.0,0.0,1.0,0.6,127.0,VARIABLE_BOUNDARY
P120_C120_D4,5,123,123,6,21:00,21:04,4.0,0.0,1.0,1.0,118.08,SHORT_RECURRING_GAP
P127_C127_D4,17,108,99,6,22:07,22:10,3.0,0.0,0.4117647058823529,0.5882352941176471,105.29999999999998,VARIABLE_BOUNDARY
P129_C128_D2,33,124,112,4,22:23,22:25,2.0,0.0,0.2727272727272727,0.6060606060606061,99.73333333333332,VARIABLE_BOUNDARY
P118_C118_D2,20,124,107,4,20:39,20:41,2.0,0.0,0.55,0.8,98.23333333333332,VARIABLE_BOUNDARY
P136_C136_D2,22,121,103,4,23:38,23:40,2.0,0.0,0.45454545454545453,0.5454545454545454,95.43333333333332,VARIABLE_BOUNDARY
P132_C131_D2,23,117,110,4,22:54,22:56,2.0,0.0,0.5217391304347826,0.8260869565217391,95.4,VARIABLE_BOUNDARY
P128_C128_D4,3,112,102,4,22:17,22:21,4.0,0.0,0.6666666666666666,0.3333333333333333,90.33333333333334,VARIABLE_BOUNDARY
P137_C137_D2,23,112,94,4,23:48,23:50,2.0,0.0,0.5652173913043478,0.6956521739130435,87.93333333333332,VARIABLE_BOUNDARY
P134_C134_D2,19,108,98,4,23:18,23:20,2.0,0.0,0.631578947368421,0.3684210526315789,87.0,VARIABLE_BOUNDARY
P123_C122_D2,25,109,105,3,21:23,21:25,2.0,0.0,0.76,0.68,84.91,VARIABLE_BOUNDARY
