family_id,occurrences,b31_occurrences,unique_dates,unique_years,previous_time,current_time,median_gap_minutes,gap_std,before_context_availability,after_context_availability,boundary_strength,classification
P122_C121_D2,66,489,359,6,21:03,21:05,2.0,0.0,0.7424242424242424,0.3939393939393939,469.56,VARIABLE_BOUNDARY
P128_C127_D2,78,474,334,6,22:03,22:05,2.0,0.0,0.5256410256410257,0.6153846153846154,432.0,VARIABLE_BOUNDARY
P123_C122_D2,50,396,275,6,21:15,21:17,2.0,0.0,0.28,0.32,375.54,VARIABLE_BOUNDARY
P124_C123_D2,37,367,269,6,21:24,21:26,2.0,0.0,0.32432432432432434,0.43243243243243246,352.28,VARIABLE_BOUNDARY
P127_C126_D2,25,345,280,6,21:56,21:58,2.0,0.0,0.36,0.56,339.3,VARIABLE_BOUNDARY
P121_C120_D2,188,302,279,6,20:59,21:01,2.0,0.0,0.9627659574468085,0.6382978723404256,295.1,VARIABLE_BOUNDARY
P125_C124_D2,30,331,230,5,21:34,21:36,2.0,0.0,0.36666666666666664,0.5666666666666667,286.3566666666667,VARIABLE_BOUNDARY
P122_C121_D4,28,278,239,6,21:02,21:05,3.0,0.0,0.6428571428571429,0.5,277.42,VARIABLE_BOUNDARY
P130_C129_D2,39,369,254,4,22:24,22:26,2.0,0.0,0.3333333333333333,0.48717948717948717,272.99999999999994,VARIABLE_BOUNDARY
P129_C128_D2,17,331,228,5,22:14,22:16,2.0,0.0,0.17647058823529413,0.11764705882352941,272.51666666666665,VARIABLE_BOUNDARY
P132_C131_D2,37,353,239,4,22:45,22:47,2.0,0.0,0.32432432432432434,0.40540540540540543,259.96666666666664,VARIABLE_BOUNDARY
P131_C130_D2,40,350,236,4,22:35,22:37,2.0,0.0,0.275,0.35,257.46666666666664,VARIABLE_BOUNDARY
P126_C125_D2,38,280,214,4,21:45,21:47,2.0,0.0,0.47368421052631576,0.5526315789473685,224.7333333333333,VARIABLE_BOUNDARY
P136_C135_D2,34,292,206,4,23:24,23:26,2.0,0.0,0.6470588235294118,0.6176470588235294,217.53333333333333,VARIABLE_BOUNDARY
P133_C132_D2,28,275,205,4,22:54,22:56,2.0,0.0,0.2857142857142857,0.5357142857142857,208.16666666666663,VARIABLE_BOUNDARY
P138_C137_D2,32,280,193,4,23:45,23:47,2.0,0.0,0.46875,0.375,207.2333333333333,VARIABLE_BOUNDARY
P137_C136_D2,30,270,194,4,23:34,23:36,2.0,0.0,0.6666666666666666,0.36666666666666664,202.2,VARIABLE_BOUNDARY
P123_C122_D4,8,210,173,5,21:13,21:17,4.0,0.0,0.0,0.125,189.8,VARIABLE_BOUNDARY
P128_C127_D4,6,195,164,6,22:04,22:07,3.0,0.0,0.5,0.0,185.7,VARIABLE_BOUNDARY
P124_C123_D4,7,225,184,4,21:23,21:27,4.0,0.0,0.0,0.42857142857142855,184.2,VARIABLE_BOUNDARY
P134_C133_D2,16,240,173,4,23:04,23:06,2.0,0.0,0.3125,0.3125,179.89999999999998,VARIABLE_BOUNDARY
P119_C118_D2,26,242,169,4,20:34,20:36,2.0,0.0,0.46153846153846156,0.5769230769230769,179.76666666666665,VARIABLE_BOUNDARY
P135_C134_D2,22,259,182,3,23:14,23:16,2.0,0.0,0.5454545454545454,0.5,171.15,VARIABLE_BOUNDARY
P120_C119_D2,36,201,153,4,20:45,20:47,2.0,0.0,0.4722222222222222,0.9444444444444444,153.09999999999997,VARIABLE_BOUNDARY
P139_C138_D2,33,213,166,3,23:53,23:55,2.0,0.0,0.45454545454545453,0.696969696969697,145.65,VARIABLE_BOUNDARY
P118_C117_D2,16,182,139,4,20:24,20:26,2.0,0.0,0.6875,0.375,138.76666666666665,VARIABLE_BOUNDARY
P129_C128_D4,11,190,151,3,22:14,22:17,3.0,0.0,0.0,0.09090909090909091,130.8,VARIABLE_BOUNDARY
P130_C129_D4,5,175,145,3,22:24,22:28,4.0,0.0,0.4,0.6,122.25,VARIABLE_BOUNDARY
P117_C116_D2,16,146,107,4,20:15,20:17,2.0,0.0,0.5625,0.375,109.96666666666664,VARIABLE_BOUNDARY
P28_C28_D2,16,141,111,4,04:35,04:37,2.0,0.0,0.6875,0.75,108.5,VARIABLE_BOUNDARY
P125_C124_D4,2,124,107,4,21:34,21:38,4.0,0.0,0.5,0.0,103.19333333333331,VARIABLE_BOUNDARY
P132_C131_D4,2,131,111,4,22:43,22:47,4.0,0.0,0.0,0.0,103.16666666666664,VARIABLE_BOUNDARY
P27_C27_D2,15,153,113,3,04:24,04:26,2.0,0.0,0.5333333333333333,0.7333333333333333,102.75,VARIABLE_BOUNDARY
P29_C29_D2,10,133,102,4,04:45,04:47,2.0,0.0,0.6,0.5,101.53333333333336,VARIABLE_BOUNDARY
P126_C125_D4,4,126,110,4,21:44,21:47,3.0,0.0,0.0,0.0,100.2,VARIABLE_BOUNDARY
P22_C22_D2,20,129,99,4,03:35,03:37,2.0,0.0,0.7,0.7,98.5,VARIABLE_BOUNDARY
P26_C26_D2,16,141,109,3,04:15,04:17,2.0,0.0,0.625,0.625,96.15,VARIABLE_BOUNDARY
P24_C24_D2,14,121,103,4,03:54,03:56,2.0,0.0,0.5714285714285714,0.6428571428571429,95.43333333333332,VARIABLE_BOUNDARY
P23_C23_D2,5,121,98,4,03:44,03:46,2.0,0.0,0.8,0.6,93.93333333333332,VARIABLE_BOUNDARY
P25_C25_D2,15,137,106,3,04:04,04:06,2.0,0.0,0.7333333333333333,0.6,93.45,VARIABLE_BOUNDARY
P133_C132_D4,3,126,106,3,22:53,22:57,4.0,0.0,0.0,0.0,88.5,VARIABLE_BOUNDARY
P116_C115_D2,13,111,90,4,20:06,20:08,2.0,0.0,1.0,0.38461538461538464,86.2,VARIABLE_BOUNDARY
P131_C130_D4,4,122,104,3,22:34,22:38,4.0,0.0,0.25,0.0,86.09999999999998,VARIABLE_BOUNDARY
P3_C3_D2,12,118,97,3,00:24,00:26,2.0,0.0,0.6666666666666666,0.4166666666666667,82.2,VARIABLE_BOUNDARY
P139_C1_D2,83,97,97,4,23:58,00:00,2.0,0.0,0.7831325301204819,0.963855421686747,80.83333333333333,VARIABLE_BOUNDARY
P32_C32_D2,14,107,79,4,05:14,05:16,2.0,0.0,0.6428571428571429,0.7142857142857143,80.76666666666665,VARIABLE_BOUNDARY
P21_C21_D2,12,117,89,3,03:25,03:27,2.0,0.0,0.5,0.3333333333333333,79.35000000000001,VARIABLE_BOUNDARY
P19_C19_D2,8,103,79,4,03:04,03:06,2.0,0.0,0.625,0.75,78.63333333333333,VARIABLE_BOUNDARY
P20_C20_D2,3,114,89,3,03:14,03:16,2.0,0.0,0.6666666666666666,1.0,77.99999999999999,VARIABLE_BOUNDARY
P31_C31_D2,7,97,79,4,05:05,05:07,2.0,0.0,0.5714285714285714,0.5714285714285714,75.43333333333332,VARIABLE_BOUNDARY
P17_C17_D2,9,96,78,4,02:44,02:46,2.0,0.0,0.8888888888888888,0.4444444444444444,74.6,VARIABLE_BOUNDARY
P136_C135_D4,12,107,88,3,23:24,23:27,3.0,0.0,0.08333333333333333,0.3333333333333333,74.55,VARIABLE_BOUNDARY
P137_C136_D4,9,105,89,3,23:34,23:37,3.0,0.0,0.2222222222222222,0.1111111111111111,73.94999999999999,VARIABLE_BOUNDARY
