context_type,family_id,gap_previous,gap_current,gap_minutes,date,year,month,weekday,previous_clock,current_clock,before_count,after_count,full_before_context,full_after_context,before_internal_gaps,after_internal_gaps,context_is_continuous,first_before_time,last_before_time,first_after_time,last_after_time,first_before_open,last_before_close,first_after_open,last_after_close,before_high,before_low,after_high,after_low,before_close_to_after_open_change
KNOWN_BOUNDARY,P30_C35_D64,2021-10-19 20:58:00,2021-10-19 22:01:00,63.0,2021-10-19,2021,10,Tuesday,20:58,22:01,5,5,True,True,0,0,True,2021-10-19 20:54:00,2021-10-19 20:58:00,2021-10-19 22:01:00,2021-10-19 22:05:00,1768.724,1769.423,1769.197,1769.531,1769.453,1768.72,1769.55,1769.196,-0.22600000000011278
KNOWN_BOUNDARY,P30_C35_D64,2021-10-20 20:58:00,2021-10-20 22:01:00,63.0,2021-10-20,2021,10,Wednesday,20:58,22:01,5,5,True,True,0,0,True,2021-10-20 20:54:00,2021-10-20 20:58:00,2021-10-20 22:01:00,2021-10-20 22:05:00,1782.244,1781.862,1782.037,1782.462,1782.244,1781.525,1782.598,1781.819,0.17499999999995453
KNOWN_BOUNDARY,P30_C35_D64,2021-10-21 20:58:00,2021-10-21 22:01:00,63.0,2021-10-21,2021,10,Thursday,20:58,22:01,5,5,True,True,0,0,True,2021-10-21 20:54:00,2021-10-21 20:58:00,2021-10-21 22:01:00,2021-10-21 22:05:00,1783.235,1782.866,1783.29,1783.274,1783.332,1782.751,1783.408,1783.184,0.42399999999997817
KNOWN_BOUNDARY,P30_C35_D64,2021-10-25 20:58:00,2021-10-25 22:01:00,63.0,2021-10-25,2021,10,Monday,20:58,22:01,5,5,True,True,0,0,True,2021-10-25 20:54:00,2021-10-25 20:58:00,2021-10-25 22:01:00,2021-10-25 22:05:00,1807.18,1807.569,1807.252,1807.321,1807.664,1807.18,1807.383,1807.19,-0.3170000000000073
KNOWN_BOUNDARY,P30_C35_D64,2021-10-26 20:58:00,2021-10-26 22:01:00,63.0,2021-10-26,2021,10,Tuesday,20:58,22:01,5,5,True,True,0,0,True,2021-10-26 20:54:00,2021-10-26 20:58:00,2021-10-26 22:01:00,2021-10-26 22:05:00,1793.113,1792.685,1793.168,1792.93,1793.205,1792.664,1793.243,1792.905,0.48299999999994725
KNOWN_BOUNDARY,P30_C35_D64,2021-10-27 20:58:00,2021-10-27 22:01:00,63.0,2021-10-27,2021,10,Wednesday,20:58,22:01,5,5,True,True,0,0,True,2021-10-27 20:54:00,2021-10-27 20:58:00,2021-10-27 22:01:00,2021-10-27 22:05:00,1796.919,1796.846,1796.534,1796.694,1797.013,1796.767,1796.788,1796.403,-0.31199999999989814
KNOWN_BOUNDARY,P30_C35_D64,2021-10-28 20:58:00,2021-10-28 22:01:00,63.0,2021-10-28,2021,10,Thursday,20:58,22:01,5,5,True,True,0,0,True,2021-10-28 20:54:00,2021-10-28 20:58:00,2021-10-28 22:01:00,2021-10-28 22:05:00,1798.823,1798.817,1799.532,1799.449,1798.956,1798.703,1799.555,1799.368,0.7149999999999181
KNOWN_BOUNDARY,P30_C35_D64,2021-11-01 20:58:00,2021-11-01 22:01:00,63.0,2021-11-01,2021,11,Monday,20:58,22:01,5,5,True,True,0,0,True,2021-11-01 20:54:00,2021-11-01 20:58:00,2021-11-01 22:01:00,2021-11-01 22:05:00,1793.049,1793.156,1792.971,1792.751,1793.281,1793.049,1793.065,1792.75,-0.18499999999994543
KNOWN_BOUNDARY,P30_C35_D64,2021-11-02 20:58:00,2021-11-02 22:01:00,63.0,2021-11-02,2021,11,Tuesday,20:58,22:01,5,5,True,True,0,0,True,2021-11-02 20:54:00,2021-11-02 20:58:00,2021-11-02 22:01:00,2021-11-02 22:05:00,1787.629,1787.899,1787.784,1787.512,1787.959,1787.629,1787.816,1787.508,-0.11499999999978172
KNOWN_BOUNDARY,P30_C35_D64,2021-11-03 20:58:00,2021-11-03 22:01:00,63.0,2021-11-03,2021,11,Wednesday,20:58,22:01,5,5,True,True,0,0,True,2021-11-03 20:54:00,2021-11-03 20:58:00,2021-11-03 22:01:00,2021-11-03 22:05:00,1770.128,1769.61,1770.555,1771.335,1770.187,1769.328,1771.454,1770.466,0.9450000000001637
KNOWN_BOUNDARY,P30_C35_D64,2021-11-04 20:58:00,2021-11-04 22:01:00,63.0,2021-11-04,2021,11,Thursday,20:58,22:01,5,5,True,True,0,0,True,2021-11-04 20:54:00,2021-11-04 20:58:00,2021-11-04 22:01:00,2021-11-04 22:05:00,1791.937,1791.653,1791.107,1791.023,1791.95,1791.603,1791.385,1791.023,-0.5460000000000491
KNOWN_BOUNDARY,P33_C39_D64,2021-11-08 21:58:00,2021-11-08 23:01:00,63.0,2021-11-08,2021,11,Monday,21:58,23:01,5,5,True,True,0,0,True,2021-11-08 21:54:00,2021-11-08 21:58:00,2021-11-08 23:01:00,2021-11-08 23:05:00,1824.31,1824.199,1824.825,1824.251,1824.31,1824.078,1824.825,1824.196,0.6259999999999764
KNOWN_BOUNDARY,P33_C39_D64,2021-11-09 21:58:00,2021-11-09 23:01:00,63.0,2021-11-09,2021,11,Tuesday,21:58,23:01,5,5,True,True,0,0,True,2021-11-09 21:54:00,2021-11-09 21:58:00,2021-11-09 23:01:00,2021-11-09 23:05:00,1831.714,1831.752,1831.823,1831.754,1831.933,1831.52,1831.889,1831.651,0.07100000000014006
KNOWN_BOUNDARY,P33_C39_D64,2021-11-10 21:58:00,2021-11-10 23:01:00,63.0,2021-11-10,2021,11,Wednesday,21:58,23:01,5,5,True,True,0,0,True,2021-11-10 21:54:00,2021-11-10 21:58:00,2021-11-10 23:01:00,2021-11-10 23:05:00,1849.42,1849.2,1849.69,1848.738,1849.577,1848.803,1849.69,1848.738,0.4900000000000091
KNOWN_BOUNDARY,P33_C39_D64,2021-11-11 21:58:00,2021-11-11 23:01:00,63.0,2021-11-11,2021,11,Thursday,21:58,23:01,5,5,True,True,0,0,True,2021-11-11 21:54:00,2021-11-11 21:58:00,2021-11-11 23:01:00,2021-11-11 23:05:00,1861.873,1861.816,1861.684,1861.64,1862.028,1861.771,1861.884,1861.611,-0.13200000000006185
KNOWN_BOUNDARY,P33_C39_D64,2021-11-15 21:58:00,2021-11-15 23:01:00,63.0,2021-11-15,2021,11,Monday,21:58,23:01,5,5,True,True,0,0,True,2021-11-15 21:54:00,2021-11-15 21:58:00,2021-11-15 23:01:00,2021-11-15 23:05:00,1862.716,1862.731,1862.818,1863.065,1862.832,1862.642,1863.143,1862.808,0.08699999999998909
KNOWN_BOUNDARY,P33_C39_D64,2021-11-16 21:58:00,2021-11-16 23:01:00,63.0,2021-11-16,2021,11,Tuesday,21:58,23:01,5,5,True,True,0,0,True,2021-11-16 21:54:00,2021-11-16 21:58:00,2021-11-16 23:01:00,2021-11-16 23:05:00,1850.131,1850.454,1850.191,1849.985,1850.454,1849.933,1850.496,1849.698,-0.26299999999991996
KNOWN_BOUNDARY,P33_C39_D64,2021-11-17 21:58:00,2021-11-17 23:01:00,63.0,2021-11-17,2021,11,Wednesday,21:58,23:01,5,5,True,True,0,0,True,2021-11-17 21:54:00,2021-11-17 21:58:00,2021-11-17 23:01:00,2021-11-17 23:05:00,1867.233,1867.312,1866.819,1866.447,1867.544,1867.157,1866.822,1866.293,-0.49299999999993815
KNOWN_BOUNDARY,P33_C39_D64,2021-11-18 21:58:00,2021-11-18 23:01:00,63.0,2021-11-18,2021,11,Thursday,21:58,23:01,5,5,True,True,0,0,True,2021-11-18 21:54:00,2021-11-18 21:58:00,2021-11-18 23:01:00,2021-11-18 23:05:00,1858.76,1858.874,1859.124,1859.109,1858.874,1858.58,1859.258,1859.069,0.25
KNOWN_BOUNDARY,P33_C39_D64,2021-11-22 21:58:00,2021-11-22 23:01:00,63.0,2021-11-22,2021,11,Monday,21:58,23:01,5,5,True,True,0,0,True,2021-11-22 21:54:00,2021-11-22 21:58:00,2021-11-22 23:01:00,2021-11-22 23:05:00,1805.202,1804.791,1807.139,1808.265,1805.348,1804.364,1808.407,1806.989,2.3479999999999563
KNOWN_BOUNDARY,P33_C39_D64,2021-11-23 21:58:00,2021-11-23 23:01:00,63.0,2021-11-23,2021,11,Tuesday,21:58,23:01,5,5,True,True,0,0,True,2021-11-23 21:54:00,2021-11-23 21:58:00,2021-11-23 23:01:00,2021-11-23 23:05:00,1789.707,1789.013,1789.209,1789.414,1789.707,1788.899,1789.416,1788.964,0.19600000000014006
KNOWN_BOUNDARY,P33_C39_D64,2021-11-24 21:58:00,2021-11-24 23:01:00,63.0,2021-11-24,2021,11,Wednesday,21:58,23:01,5,5,True,True,0,0,True,2021-11-24 21:54:00,2021-11-24 21:58:00,2021-11-24 23:01:00,2021-11-24 23:05:00,1789.388,1788.522,1788.695,1788.248,1789.437,1788.388,1788.695,1788.025,0.17300000000000182
KNOWN_BOUNDARY,P33_C39_D64,2021-11-29 21:58:00,2021-11-29 23:01:00,63.0,2021-11-29,2021,11,Monday,21:58,23:01,5,5,True,True,0,0,True,2021-11-29 21:54:00,2021-11-29 21:58:00,2021-11-29 23:01:00,2021-11-29 23:05:00,1785.203,1784.634,1785.097,1785.116,1785.208,1784.594,1785.606,1784.9,0.46299999999996544
KNOWN_BOUNDARY,P33_C39_D64,2021-11-30 21:58:00,2021-11-30 23:01:00,63.0,2021-11-30,2021,11,Tuesday,21:58,23:01,5,5,True,True,0,0,True,2021-11-30 21:54:00,2021-11-30 21:58:00,2021-11-30 23:01:00,2021-11-30 23:05:00,1774.487,1774.825,1774.947,1775.576,1774.976,1774.14,1776.113,1774.908,0.12199999999984357
KNOWN_BOUNDARY,P33_C39_D64,2021-12-01 21:58:00,2021-12-01 23:01:00,63.0,2021-12-01,2021,12,Wednesday,21:58,23:01,5,5,True,True,0,0,True,2021-12-01 21:54:00,2021-12-01 21:58:00,2021-12-01 23:01:00,2021-12-01 23:05:00,1782.387,1781.794,1781.574,1781.974,1782.454,1781.584,1781.991,1781.075,-0.22000000000002728
