family_id,previous_clock,current_clock,occurrences,first_seen,last_seen,median_gap_minutes,continuous_context_pct
P30_C35_D64,20:57,22:01,433,2022-03-21 20:57:00,2026-05-11 20:57:00,64.0,100.0
P30_C35_D64,20:57,22:02,87,2025-04-22 20:57:00,2026-05-26 20:57:00,65.0,100.0
P30_C35_D64,20:57,22:00,63,2026-03-09 20:57:00,2026-08-12 20:57:00,63.0,100.0
P30_C35_D64,20:56,22:01,21,2024-03-11 20:56:00,2024-04-18 20:56:00,65.0,100.0
P30_C35_D64,20:58,22:01,15,2021-10-19 20:58:00,2022-03-17 20:58:00,63.0,100.0
P33_C39_D64,21:57,23:01,187,2022-11-07 21:57:00,2026-03-03 21:57:00,64.0,99.46524064171123
P33_C39_D64,21:58,23:01,68,2021-11-08 21:58:00,2022-03-10 21:58:00,63.0,100.0
P33_C39_D64,21:57,23:00,34,2025-11-03 21:57:00,2026-03-04 21:57:00,63.0,94.11764705882352
P33_C39_D64,21:56,23:01,22,2024-01-23 21:56:00,2024-03-07 21:56:00,65.0,100.0
P33_C39_D64,21:57,23:02,8,2025-01-21 21:57:00,2026-02-17 21:57:00,65.0,100.0
P41_C1_D2,23:58,00:00,59,2023-05-29 23:58:00,2024-04-18 23:58:00,2.0,100.0
