family_id,year,month,occurrences,median_gap_minutes,median_previous_minute,median_current_minute,continuous_context_pct
P30_C35_D64,2021,10,7,63.0,1258.0,1321.0,100.0
P30_C35_D64,2021,11,4,63.0,1258.0,1321.0,100.0
P30_C35_D64,2022,3,12,64.0,1257.0,1321.0,100.0
P30_C35_D64,2022,4,15,64.0,1257.0,1321.0,100.0
P30_C35_D64,2022,5,17,64.0,1257.0,1321.0,100.0
P30_C35_D64,2022,6,17,64.0,1257.0,1321.0,100.0
P30_C35_D64,2022,7,15,64.0,1257.0,1321.0,100.0
P30_C35_D64,2022,8,19,64.0,1257.0,1321.0,100.0
P30_C35_D64,2022,9,16,64.0,1257.0,1321.0,100.0
P30_C35_D64,2022,10,17,64.0,1257.0,1321.0,100.0
P30_C35_D64,2022,11,3,64.0,1257.0,1321.0,100.0
P30_C35_D64,2023,3,11,64.0,1257.0,1321.0,100.0
P30_C35_D64,2023,4,15,64.0,1257.0,1321.0,100.0
P30_C35_D64,2023,5,18,64.0,1257.0,1321.0,100.0
P30_C35_D64,2023,6,16,64.0,1257.0,1321.0,100.0
P30_C35_D64,2023,7,16,64.0,1257.0,1321.0,100.0
P30_C35_D64,2023,8,19,64.0,1257.0,1321.0,100.0
P30_C35_D64,2023,9,15,64.0,1257.0,1321.0,100.0
P30_C35_D64,2023,10,18,64.0,1257.0,1321.0,100.0
P30_C35_D64,2023,11,2,64.0,1257.0,1321.0,100.0
P30_C35_D64,2024,3,11,65.0,1256.0,1321.0,100.0
P30_C35_D64,2024,4,18,65.0,1256.0,1321.0,100.0
P30_C35_D64,2024,5,17,64.0,1257.0,1321.0,100.0
P30_C35_D64,2024,6,15,64.0,1257.0,1321.0,100.0
P30_C35_D64,2024,7,18,64.0,1257.0,1321.0,100.0
P30_C35_D64,2024,8,17,64.0,1257.0,1321.0,100.0
P30_C35_D64,2024,9,16,64.0,1257.0,1321.0,100.0
P30_C35_D64,2024,10,19,64.0,1257.0,1321.0,100.0
P30_C35_D64,2025,3,13,64.0,1257.0,1321.0,100.0
P30_C35_D64,2025,4,14,64.0,1257.0,1321.0,100.0
P30_C35_D64,2025,5,15,64.0,1257.0,1321.0,100.0
P30_C35_D64,2025,6,16,65.0,1257.0,1322.0,100.0
P30_C35_D64,2025,7,19,65.0,1257.0,1322.0,100.0
P30_C35_D64,2025,8,16,65.0,1257.0,1322.0,100.0
P30_C35_D64,2025,9,17,65.0,1257.0,1322.0,100.0
P30_C35_D64,2025,10,18,65.0,1257.0,1322.0,100.0
P30_C35_D64,2026,3,14,63.5,1257.0,1320.5,100.0
P30_C35_D64,2026,4,16,64.0,1257.0,1321.0,100.0
P30_C35_D64,2026,5,15,63.0,1257.0,1320.0,100.0
P30_C35_D64,2026,6,18,63.0,1257.0,1320.0,100.0
P30_C35_D64,2026,7,18,63.0,1257.0,1320.0,100.0
P30_C35_D64,2026,8,7,63.0,1257.0,1320.0,100.0
P33_C39_D64,2021,11,13,63.0,1318.0,1381.0,100.0
P33_C39_D64,2021,12,17,63.0,1318.0,1381.0,100.0
P33_C39_D64,2022,1,16,63.0,1318.0,1381.0,100.0
P33_C39_D64,2022,2,15,63.0,1318.0,1381.0,100.0
P33_C39_D64,2022,3,7,63.0,1318.0,1381.0,100.0
P33_C39_D64,2022,11,14,64.0,1317.0,1381.0,100.0
P33_C39_D64,2022,12,15,64.0,1317.0,1381.0,100.0
P33_C39_D64,2023,1,16,64.0,1317.0,1381.0,100.0
P33_C39_D64,2023,2,15,64.0,1317.0,1381.0,100.0
P33_C39_D64,2023,3,6,64.0,1317.0,1381.0,100.0
P33_C39_D64,2023,11,15,64.0,1317.0,1381.0,100.0
P33_C39_D64,2023,12,15,64.0,1317.0,1381.0,100.0
P33_C39_D64,2024,1,17,64.0,1317.0,1381.0,100.0
P33_C39_D64,2024,2,16,65.0,1316.0,1381.0,100.0
P33_C39_D64,2024,3,4,65.0,1316.0,1381.0,100.0
P33_C39_D64,2024,11,15,64.0,1317.0,1381.0,100.0
P33_C39_D64,2024,12,15,64.0,1317.0,1381.0,100.0
P33_C39_D64,2025,1,12,64.0,1317.0,1381.0,91.66666666666666
P33_C39_D64,2025,2,13,64.0,1317.0,1381.0,100.0
P33_C39_D64,2025,3,4,64.0,1317.0,1381.0,100.0
P33_C39_D64,2025,11,15,63.0,1317.0,1380.0,100.0
P33_C39_D64,2025,12,15,63.0,1317.0,1380.0,86.66666666666667
P33_C39_D64,2026,1,12,64.0,1317.0,1381.0,100.0
P33_C39_D64,2026,2,14,64.0,1317.0,1381.0,100.0
P33_C39_D64,2026,3,3,63.0,1317.0,1380.0,100.0
P41_C1_D2,2023,5,1,2.0,1438.0,0.0,100.0
P41_C1_D2,2023,6,1,2.0,1438.0,0.0,100.0
P41_C1_D2,2023,7,1,2.0,1438.0,0.0,100.0
P41_C1_D2,2023,9,1,2.0,1438.0,0.0,100.0
P41_C1_D2,2023,12,1,2.0,1438.0,0.0,100.0
P41_C1_D2,2024,1,4,2.0,1438.0,0.0,100.0
P41_C1_D2,2024,2,20,2.0,1438.0,0.0,100.0
P41_C1_D2,2024,3,16,2.0,1438.0,0.0,100.0
P41_C1_D2,2024,4,14,2.0,1438.0,0.0,100.0
