context_type,family_id,gap_previous,gap_current,gap_minutes,date,year,month,weekday,previous_clock,current_clock,before_count,after_count,full_before_context,full_after_context,before_internal_gaps,after_internal_gaps,context_is_continuous,first_before_time,last_before_time,first_after_time,last_after_time,first_before_open,last_before_close,first_after_open,last_after_close,before_high,before_low,after_high,after_low,before_close_to_after_open_change
UNCLASSIFIED,,2021-08-17 12:49:00,2021-08-17 12:53:00,4.0,2021-08-17,2021,8,Tuesday,12:49,12:53,5,5,True,True,0,0,True,2021-08-17 12:45:00,2021-08-17 12:49:00,2021-08-17 12:53:00,2021-08-17 12:57:00,1790.12,1791.095,1789.201,1789.295,1791.419,1789.832,1789.663,1788.721,-1.8940000000000055
UNCLASSIFIED,,2021-08-17 20:58:00,2021-08-17 22:00:00,62.0,2021-08-17,2021,8,Tuesday,20:58,22:00,5,5,True,True,0,0,True,2021-08-17 20:54:00,2021-08-17 20:58:00,2021-08-17 22:00:00,2021-08-17 22:04:00,1785.793,1785.879,1785.836,1786.161,1786.001,1785.727,1786.835,1785.499,-0.04299999999989268
UNCLASSIFIED,,2021-08-18 20:58:00,2021-08-18 22:00:00,62.0,2021-08-18,2021,8,Wednesday,20:58,22:00,5,5,True,True,0,0,True,2021-08-18 20:54:00,2021-08-18 20:58:00,2021-08-18 22:00:00,2021-08-18 22:04:00,1787.566,1787.427,1787.838,1787.35,1787.809,1787.172,1788.389,1787.1,0.4110000000000582
UNCLASSIFIED,,2021-08-19 20:58:00,2021-08-19 22:00:00,62.0,2021-08-19,2021,8,Thursday,20:58,22:00,5,5,True,True,0,0,True,2021-08-19 20:54:00,2021-08-19 20:58:00,2021-08-19 22:00:00,2021-08-19 22:04:00,1780.113,1779.767,1780.169,1780.035,1780.147,1779.767,1781.378,1779.565,0.40200000000004366
UNCLASSIFIED,,2021-08-20 20:58:00,2021-08-22 22:00:00,2942.0,2021-08-20,2021,8,Friday,20:58,22:00,5,5,True,True,0,1,False,2021-08-20 20:54:00,2021-08-20 20:58:00,2021-08-22 22:00:00,2021-08-22 22:08:00,1780.832,1781.235,1781.378,1781.525,1781.338,1780.642,1782.284,1778.111,0.1430000000000291
UNCLASSIFIED,,2021-08-22 22:00:00,2021-08-22 22:05:00,5.0,2021-08-22,2021,8,Sunday,22:00,22:05,5,5,True,True,1,0,False,2021-08-20 20:55:00,2021-08-22 22:00:00,2021-08-22 22:05:00,2021-08-22 22:09:00,1780.945,1778.142,1781.378,1781.709,1782.284,1778.111,1781.811,1781.111,3.2359999999998763
UNCLASSIFIED,,2021-08-23 20:58:00,2021-08-23 22:00:00,62.0,2021-08-23,2021,8,Monday,20:58,22:00,5,5,True,True,0,0,True,2021-08-23 20:54:00,2021-08-23 20:58:00,2021-08-23 22:00:00,2021-08-23 22:04:00,1805.058,1805.34,1804.923,1805.445,1805.433,1805.016,1805.851,1804.777,-0.4169999999999163
UNCLASSIFIED,,2021-08-24 20:58:00,2021-08-24 22:00:00,62.0,2021-08-24,2021,8,Tuesday,20:58,22:00,5,5,True,True,0,0,True,2021-08-24 20:54:00,2021-08-24 20:58:00,2021-08-24 22:00:00,2021-08-24 22:04:00,1802.91,1802.941,1802.607,1802.476,1802.968,1802.718,1802.775,1802.332,-0.33400000000006
UNCLASSIFIED,,2021-08-25 11:49:00,2021-08-25 11:51:00,2.0,2021-08-25,2021,8,Wednesday,11:49,11:51,5,5,True,True,0,0,True,2021-08-25 11:45:00,2021-08-25 11:49:00,2021-08-25 11:51:00,2021-08-25 11:55:00,1794.525,1794.473,1794.352,1793.621,1795.172,1794.473,1794.397,1793.616,-0.12099999999986721
UNCLASSIFIED,,2021-08-25 20:58:00,2021-08-25 22:00:00,62.0,2021-08-25,2021,8,Wednesday,20:58,22:00,5,5,True,True,0,0,True,2021-08-25 20:54:00,2021-08-25 20:58:00,2021-08-25 22:00:00,2021-08-25 22:04:00,1790.357,1790.455,1790.962,1790.983,1790.478,1790.135,1791.195,1790.416,0.5070000000000618
