previous,current,gap_minutes,previous_date,current_date,previous_year,current_year,previous_month,current_month,previous_weekday,current_weekday,previous_minute,current_minute,previous_open,previous_high,previous_low,previous_close,current_open,current_high,current_low,current_close,family_id,previous_clock,current_clock,anchor_previous_clock,anchor_current_clock,previous_clock_shift_minutes,current_clock_shift_minutes
2021-10-19 20:58:00,2021-10-19 22:01:00,63.0,2021-10-19,2021-10-19,2021,2021,10,10,Tuesday,Tuesday,1258,1321,1769.271,1769.453,1769.235,1769.423,1769.197,1769.331,1769.196,1769.295,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
2021-10-20 20:58:00,2021-10-20 22:01:00,63.0,2021-10-20,2021-10-20,2021,2021,10,10,Wednesday,Wednesday,1258,1321,1781.644,1781.866,1781.619,1781.862,1782.037,1782.04,1781.819,1781.96,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
2021-10-21 20:58:00,2021-10-21 22:01:00,63.0,2021-10-21,2021-10-21,2021,2021,10,10,Thursday,Thursday,1258,1321,1782.759,1783.054,1782.752,1782.866,1783.29,1783.29,1783.222,1783.265,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
2021-10-25 20:58:00,2021-10-25 22:01:00,63.0,2021-10-25,2021-10-25,2021,2021,10,10,Monday,Monday,1258,1321,1807.65,1807.65,1807.469,1807.569,1807.252,1807.296,1807.19,1807.266,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
2021-10-26 20:58:00,2021-10-26 22:01:00,63.0,2021-10-26,2021-10-26,2021,2021,10,10,Tuesday,Tuesday,1258,1321,1792.887,1792.887,1792.664,1792.685,1793.168,1793.212,1793.088,1793.144,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
2021-10-27 20:58:00,2021-10-27 22:01:00,63.0,2021-10-27,2021-10-27,2021,2021,10,10,Wednesday,Wednesday,1258,1321,1796.9,1796.933,1796.767,1796.846,1796.534,1796.542,1796.403,1796.441,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
2021-10-28 20:58:00,2021-10-28 22:01:00,63.0,2021-10-28,2021-10-28,2021,2021,10,10,Thursday,Thursday,1258,1321,1798.739,1798.875,1798.733,1798.817,1799.532,1799.555,1799.466,1799.522,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
2021-11-01 20:58:00,2021-11-01 22:01:00,63.0,2021-11-01,2021-11-01,2021,2021,11,11,Monday,Monday,1258,1321,1793.18,1793.202,1793.156,1793.156,1792.971,1793.019,1792.971,1793.019,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
2021-11-02 20:58:00,2021-11-02 22:01:00,63.0,2021-11-02,2021-11-02,2021,2021,11,11,Tuesday,Tuesday,1258,1321,1787.92,1787.92,1787.872,1787.899,1787.784,1787.816,1787.706,1787.706,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
2021-11-03 20:58:00,2021-11-03 22:01:00,63.0,2021-11-03,2021-11-03,2021,2021,11,11,Wednesday,Wednesday,1258,1321,1769.617,1769.796,1769.495,1769.61,1770.555,1770.561,1770.466,1770.49,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
