family_id,regime_id,start_date,end_date,occurrences,unique_dates,years,months,weekdays,observed_previous_clock,observed_current_clock,median_gap_minutes,min_gap_minutes,max_gap_minutes,median_previous_shift,median_current_shift,sequence_break_before
P30_C35_D64,P30_C35_D64_R001,2021-10-19 20:58:00,2021-11-04 20:58:00,11,11,2021,"10,11","Monday,Thursday,Tuesday,Wednesday",20:58,22:01,63.0,63.0,63.0,1.0,0.0,True
P30_C35_D64,P30_C35_D64_R002,2022-03-14 20:58:00,2022-03-17 20:58:00,4,4,2022,3,"Monday,Thursday,Tuesday,Wednesday",20:58,22:01,63.0,63.0,63.0,1.0,0.0,False
P30_C35_D64,P30_C35_D64_R003,2022-03-21 20:57:00,2022-11-03 20:57:00,127,127,2022,"3,4,5,6,7,8,9,10,11","Monday,Thursday,Tuesday,Wednesday",20:57,22:01,64.0,64.0,64.0,0.0,0.0,True
P30_C35_D64,P30_C35_D64_R004,2023-03-13 20:57:00,2023-11-02 20:57:00,130,130,2023,"3,4,5,6,7,8,9,10,11","Monday,Thursday,Tuesday,Wednesday",20:57,22:01,64.0,64.0,64.0,0.0,0.0,True
P30_C35_D64,P30_C35_D64_R005,2024-03-11 20:56:00,2024-03-13 20:56:00,3,3,2024,3,"Monday,Tuesday,Wednesday",20:56,22:01,65.0,65.0,65.0,-1.0,0.0,False
P30_C35_D64,P30_C35_D64_R006,2024-03-18 20:56:00,2024-03-21 20:56:00,4,4,2024,3,"Monday,Thursday,Tuesday,Wednesday",20:56,22:01,65.0,65.0,65.0,-1.0,0.0,False
P30_C35_D64,P30_C35_D64_R007,2024-03-26 20:56:00,2024-04-18 20:56:00,14,14,2024,"3,4","Monday,Thursday,Tuesday,Wednesday",20:56,22:01,65.0,65.0,65.0,-1.0,0.0,False
P30_C35_D64,P30_C35_D64_R008,2024-04-22 20:57:00,2024-10-31 20:57:00,108,108,2024,"4,5,6,7,8,9,10","Monday,Thursday,Tuesday,Wednesday",20:57,22:01,64.0,64.0,64.0,0.0,0.0,True
P30_C35_D64,P30_C35_D64_R009,2025-03-10 20:57:00,2025-04-21 20:57:00,23,23,2025,"3,4","Monday,Thursday,Tuesday,Wednesday",20:57,22:01,64.0,64.0,64.0,0.0,0.0,False
P30_C35_D64,P30_C35_D64_R010,2025-04-23 20:57:00,2025-05-13 20:57:00,9,9,2025,"4,5","Monday,Thursday,Tuesday,Wednesday",20:57,22:01,64.0,64.0,64.0,0.0,0.0,False
P30_C35_D64,P30_C35_D64_R011,2025-05-15 20:57:00,2025-06-05 20:57:00,12,12,2025,"5,6","Monday,Thursday,Tuesday,Wednesday",20:57,22:01,64.0,64.0,64.0,0.0,0.0,False
P30_C35_D64,P30_C35_D64_R012,2025-06-09 20:57:00,2025-10-30 20:57:00,82,82,2025,"6,7,8,9,10","Monday,Thursday,Tuesday,Wednesday",20:57,22:02,65.0,65.0,65.0,0.0,1.0,True
P30_C35_D64,P30_C35_D64_R013,2026-04-06 20:57:00,2026-04-14 20:57:00,6,6,2026,4,"Monday,Thursday,Tuesday,Wednesday",20:57,22:01,64.0,64.0,64.0,0.0,0.0,False
P30_C35_D64,P30_C35_D64_R014,2026-04-16 20:57:00,2026-04-22 20:57:00,4,4,2026,4,"Monday,Thursday,Tuesday,Wednesday",20:57,22:00,63.0,63.0,63.0,0.0,-1.0,False
P30_C35_D64,P30_C35_D64_R015,2026-04-23 20:57:00,2026-05-11 20:57:00,10,10,2026,"4,5","Monday,Thursday,Tuesday,Wednesday",20:57,22:01,64.0,64.0,64.0,0.0,0.0,False
P30_C35_D64,P30_C35_D64_R016,2026-05-12 20:57:00,2026-05-21 20:57:00,7,7,2026,5,"Monday,Thursday,Tuesday,Wednesday",20:57,22:00,63.0,63.0,63.0,0.0,-1.0,False
