date,family_id,occurrences,first_previous_clock,last_previous_clock,first_current_clock,last_current_clock,median_gap_minutes,min_gap_minutes,max_gap_minutes,year,month,weekday
2021-10-19,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,10,Tuesday
2021-10-20,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,10,Wednesday
2021-10-21,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,10,Thursday
2021-10-25,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,10,Monday
2021-10-26,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,10,Tuesday
2021-10-27,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,10,Wednesday
2021-10-28,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,10,Thursday
2021-11-01,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,11,Monday
2021-11-02,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,11,Tuesday
2021-11-03,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,11,Wednesday
2021-11-04,P30_C35_D64,1,20:58,20:58,22:01,22:01,63.0,63.0,63.0,2021,11,Thursday
2021-11-08,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Monday
2021-11-09,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Tuesday
2021-11-10,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Wednesday
2021-11-11,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Thursday
2021-11-15,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Monday
2021-11-16,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Tuesday
2021-11-17,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Wednesday
2021-11-18,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Thursday
2021-11-22,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Monday
2021-11-23,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Tuesday
2021-11-24,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2021,11,Wednesday
