year,month,family_id,occurrences,unique_dates,median_gap_minutes,median_previous_minute,median_current_minute,unique_weekdays,median_previous_clock,median_current_clock
2021,10,P30_C35_D64,7,7,63.0,1258.0,1321.0,4,20:58,22:01
2021,11,P30_C35_D64,4,4,63.0,1258.0,1321.0,4,20:58,22:01
2021,11,P33_C39_D64,13,13,63.0,1318.0,1381.0,4,21:58,23:01
2021,12,P33_C39_D64,17,17,63.0,1318.0,1381.0,4,21:58,23:01
2022,1,P33_C39_D64,16,16,63.0,1318.0,1381.0,4,21:58,23:01
2022,2,P33_C39_D64,15,15,63.0,1318.0,1381.0,4,21:58,23:01
2022,3,P30_C35_D64,12,12,64.0,1257.0,1321.0,4,20:57,22:01
2022,3,P33_C39_D64,7,7,63.0,1318.0,1381.0,4,21:58,23:01
2022,4,P30_C35_D64,15,15,64.0,1257.0,1321.0,4,20:57,22:01
2022,5,P30_C35_D64,17,17,64.0,1257.0,1321.0,4,20:57,22:01
2022,6,P30_C35_D64,17,17,64.0,1257.0,1321.0,4,20:57,22:01
2022,7,P30_C35_D64,15,15,64.0,1257.0,1321.0,4,20:57,22:01
2022,8,P30_C35_D64,19,19,64.0,1257.0,1321.0,4,20:57,22:01
2022,9,P30_C35_D64,16,16,64.0,1257.0,1321.0,4,20:57,22:01
2022,10,P30_C35_D64,17,17,64.0,1257.0,1321.0,4,20:57,22:01
2022,11,P30_C35_D64,3,3,64.0,1257.0,1321.0,3,20:57,22:01
2022,11,P33_C39_D64,14,14,64.0,1317.0,1381.0,4,21:57,23:01
2022,12,P33_C39_D64,15,15,64.0,1317.0,1381.0,4,21:57,23:01
2023,1,P33_C39_D64,16,16,64.0,1317.0,1381.0,4,21:57,23:01
2023,2,P33_C39_D64,15,15,64.0,1317.0,1381.0,4,21:57,23:01
2023,3,P30_C35_D64,11,11,64.0,1257.0,1321.0,4,20:57,22:01
2023,3,P33_C39_D64,6,6,64.0,1317.0,1381.0,4,21:57,23:01
2023,4,P30_C35_D64,15,15,64.0,1257.0,1321.0,4,20:57,22:01
2023,5,P30_C35_D64,18,18,64.0,1257.0,1321.0,4,20:57,22:01
2023,5,P41_C1_D2,1,1,2.0,1438.0,0.0,1,23:58,00:00
2023,6,P30_C35_D64,16,16,64.0,1257.0,1321.0,4,20:57,22:01
2023,6,P41_C1_D2,1,1,2.0,1438.0,0.0,1,23:58,00:00
2023,7,P30_C35_D64,16,16,64.0,1257.0,1321.0,4,20:57,22:01
2023,7,P41_C1_D2,1,1,2.0,1438.0,0.0,1,23:58,00:00
2023,8,P30_C35_D64,19,19,64.0,1257.0,1321.0,4,20:57,22:01
2023,9,P30_C35_D64,15,15,64.0,1257.0,1321.0,4,20:57,22:01
2023,9,P41_C1_D2,1,1,2.0,1438.0,0.0,1,23:58,00:00
2023,10,P30_C35_D64,18,18,64.0,1257.0,1321.0,4,20:57,22:01
