family_id,shift_date,previous_observed_pair,new_observed_pair,new_previous_clock,new_current_clock,previous_occurrence_date,days_since_previous_occurrence,previous_year,previous_month,previous_weekday,previous_clock_shift_minutes,current_clock_shift_minutes,gap_minutes
P30_C35_D64,2022-03-21 20:57:00,20:58 -> 22:01,20:57 -> 22:01,20:57,22:01,2022-03-17 20:58:00,3.9993055555555554,2022,3,Monday,0,0,64.0
P30_C35_D64,2024-03-11 20:56:00,20:57 -> 22:01,20:56 -> 22:01,20:56,22:01,2023-11-02 20:57:00,129.99930555555557,2024,3,Monday,-1,0,65.0
P30_C35_D64,2024-03-14 20:57:00,20:56 -> 22:01,20:57 -> 22:01,20:57,22:01,2024-03-13 20:56:00,1.0006944444444446,2024,3,Thursday,0,0,64.0
P30_C35_D64,2024-03-18 20:56:00,20:57 -> 22:01,20:56 -> 22:01,20:56,22:01,2024-03-14 20:57:00,3.9993055555555554,2024,3,Monday,-1,0,65.0
P30_C35_D64,2024-03-25 20:57:00,20:56 -> 22:01,20:57 -> 22:01,20:57,22:01,2024-03-21 20:56:00,4.000694444444444,2024,3,Monday,0,0,64.0
P30_C35_D64,2024-03-26 20:56:00,20:57 -> 22:01,20:56 -> 22:01,20:56,22:01,2024-03-25 20:57:00,0.9993055555555556,2024,3,Tuesday,-1,0,65.0
P30_C35_D64,2024-04-22 20:57:00,20:56 -> 22:01,20:57 -> 22:01,20:57,22:01,2024-04-18 20:56:00,4.000694444444444,2024,4,Monday,0,0,64.0
P30_C35_D64,2025-04-22 20:57:00,20:57 -> 22:01,20:57 -> 22:02,20:57,22:02,2025-04-21 20:57:00,1.0,2025,4,Tuesday,0,1,65.0
P30_C35_D64,2025-04-23 20:57:00,20:57 -> 22:02,20:57 -> 22:01,20:57,22:01,2025-04-22 20:57:00,1.0,2025,4,Wednesday,0,0,64.0
P30_C35_D64,2025-05-14 20:57:00,20:57 -> 22:01,20:57 -> 22:02,20:57,22:02,2025-05-13 20:57:00,1.0,2025,5,Wednesday,0,1,65.0
P30_C35_D64,2025-05-15 20:57:00,20:57 -> 22:02,20:57 -> 22:01,20:57,22:01,2025-05-14 20:57:00,1.0,2025,5,Thursday,0,0,64.0
P30_C35_D64,2025-06-09 20:57:00,20:57 -> 22:01,20:57 -> 22:02,20:57,22:02,2025-06-05 20:57:00,4.0,2025,6,Monday,0,1,65.0
P30_C35_D64,2026-03-09 20:57:00,20:57 -> 22:02,20:57 -> 22:00,20:57,22:00,2025-10-30 20:57:00,130.0,2026,3,Monday,0,-1,63.0
P30_C35_D64,2026-03-10 20:57:00,20:57 -> 22:00,20:57 -> 22:01,20:57,22:01,2026-03-09 20:57:00,1.0,2026,3,Tuesday,0,0,64.0
P30_C35_D64,2026-03-11 20:57:00,20:57 -> 22:01,20:57 -> 22:02,20:57,22:02,2026-03-10 20:57:00,1.0,2026,3,Wednesday,0,1,65.0
P30_C35_D64,2026-03-12 20:57:00,20:57 -> 22:02,20:57 -> 22:01,20:57,22:01,2026-03-11 20:57:00,1.0,2026,3,Thursday,0,0,64.0
P30_C35_D64,2026-03-16 20:57:00,20:57 -> 22:01,20:57 -> 22:00,20:57,22:00,2026-03-12 20:57:00,4.0,2026,3,Monday,0,-1,63.0
P30_C35_D64,2026-03-17 20:57:00,20:57 -> 22:00,20:57 -> 22:01,20:57,22:01,2026-03-16 20:57:00,1.0,2026,3,Tuesday,0,0,64.0
P30_C35_D64,2026-03-18 20:57:00,20:57 -> 22:01,20:57 -> 22:00,20:57,22:00,2026-03-17 20:57:00,1.0,2026,3,Wednesday,0,-1,63.0
P30_C35_D64,2026-03-19 20:57:00,20:57 -> 22:00,20:57 -> 22:01,20:57,22:01,2026-03-18 20:57:00,1.0,2026,3,Thursday,0,0,64.0
P30_C35_D64,2026-03-24 20:57:00,20:57 -> 22:01,20:57 -> 22:00,20:57,22:00,2026-03-23 20:57:00,1.0,2026,3,Tuesday,0,-1,63.0
P30_C35_D64,2026-03-26 20:57:00,20:57 -> 22:00,20:57 -> 22:01,20:57,22:01,2026-03-25 20:57:00,1.0,2026,3,Thursday,0,0,64.0
P30_C35_D64,2026-03-30 20:57:00,20:57 -> 22:01,20:57 -> 22:00,20:57,22:00,2026-03-26 20:57:00,4.0,2026,3,Monday,0,-1,63.0
P30_C35_D64,2026-04-06 20:57:00,20:57 -> 22:00,20:57 -> 22:01,20:57,22:01,2026-03-31 20:57:00,6.0,2026,4,Monday,0,0,64.0
P30_C35_D64,2026-04-15 20:57:00,20:57 -> 22:01,20:57 -> 22:02,20:57,22:02,2026-04-14 20:57:00,1.0,2026,4,Wednesday,0,1,65.0
P30_C35_D64,2026-04-16 20:57:00,20:57 -> 22:02,20:57 -> 22:00,20:57,22:00,2026-04-15 20:57:00,1.0,2026,4,Thursday,0,-1,63.0
P30_C35_D64,2026-04-23 20:57:00,20:57 -> 22:00,20:57 -> 22:01,20:57,22:01,2026-04-22 20:57:00,1.0,2026,4,Thursday,0,0,64.0
P30_C35_D64,2026-05-12 20:57:00,20:57 -> 22:01,20:57 -> 22:00,20:57,22:00,2026-05-11 20:57:00,1.0,2026,5,Tuesday,0,-1,63.0
P30_C35_D64,2026-05-26 20:57:00,20:57 -> 22:00,20:57 -> 22:02,20:57,22:02,2026-05-21 20:57:00,5.0,2026,5,Tuesday,0,1,65.0
P30_C35_D64,2026-05-27 20:57:00,20:57 -> 22:02,20:57 -> 22:00,20:57,22:00,2026-05-26 20:57:00,1.0,2026,5,Wednesday,0,-1,63.0
P33_C39_D64,2022-11-07 21:57:00,21:58 -> 23:01,21:57 -> 23:01,21:57,23:01,2022-03-10 21:58:00,241.99930555555557,2022,11,Monday,0,0,64.0
P33_C39_D64,2024-01-23 21:56:00,21:57 -> 23:01,21:56 -> 23:01,21:56,23:01,2024-01-22 21:57:00,0.9993055555555556,2024,1,Tuesday,-1,0,65.0
P33_C39_D64,2024-01-29 21:57:00,21:56 -> 23:01,21:57 -> 23:01,21:57,23:01,2024-01-25 21:56:00,4.000694444444444,2024,1,Monday,0,0,64.0
P33_C39_D64,2024-02-05 21:56:00,21:57 -> 23:01,21:56 -> 23:01,21:56,23:01,2024-02-01 21:57:00,3.9993055555555554,2024,2,Monday,-1,0,65.0
P33_C39_D64,2024-11-04 21:57:00,21:56 -> 23:01,21:57 -> 23:01,21:57,23:01,2024-03-07 21:56:00,242.00069444444443,2024,11,Monday,0,0,64.0
P33_C39_D64,2025-01-21 21:57:00,21:57 -> 23:01,21:57 -> 23:02,21:57,23:02,2025-01-16 21:57:00,5.0,2025,1,Tuesday,0,1,65.0
P33_C39_D64,2025-01-23 21:57:00,21:57 -> 23:02,21:57 -> 23:01,21:57,23:01,2025-01-21 21:57:00,2.0,2025,1,Thursday,0,0,64.0
P33_C39_D64,2025-02-05 21:57:00,21:57 -> 23:01,21:57 -> 23:02,21:57,23:02,2025-02-04 21:57:00,1.0,2025,2,Wednesday,0,1,65.0
P33_C39_D64,2025-02-06 21:57:00,21:57 -> 23:02,21:57 -> 23:01,21:57,23:01,2025-02-05 21:57:00,1.0,2025,2,Thursday,0,0,64.0
P33_C39_D64,2025-02-20 21:57:00,21:57 -> 23:01,21:57 -> 23:02,21:57,23:02,2025-02-19 21:57:00,1.0,2025,2,Thursday,0,1,65.0
P33_C39_D64,2025-02-24 21:57:00,21:57 -> 23:02,21:57 -> 23:01,21:57,23:01,2025-02-20 21:57:00,4.0,2025,2,Monday,0,0,64.0
P33_C39_D64,2025-11-03 21:57:00,21:57 -> 23:01,21:57 -> 23:00,21:57,23:00,2025-03-06 21:57:00,242.0,2025,11,Monday,0,-1,63.0
P33_C39_D64,2025-12-18 21:57:00,21:57 -> 23:00,21:57 -> 23:02,21:57,23:02,2025-12-17 21:57:00,1.0,2025,12,Thursday,0,1,65.0
P33_C39_D64,2025-12-22 21:57:00,21:57 -> 23:02,21:57 -> 23:00,21:57,23:00,2025-12-18 21:57:00,4.0,2025,12,Monday,0,-1,63.0
P33_C39_D64,2025-12-23 21:57:00,21:57 -> 23:00,21:57 -> 23:01,21:57,23:01,2025-12-22 21:57:00,1.0,2025,12,Tuesday,0,0,64.0
P33_C39_D64,2025-12-29 21:57:00,21:57 -> 23:01,21:57 -> 23:02,21:57,23:02,2025-12-23 21:57:00,6.0,2025,12,Monday,0,1,65.0
P33_C39_D64,2025-12-30 21:57:00,21:57 -> 23:02,21:57 -> 23:00,21:57,23:00,2025-12-29 21:57:00,1.0,2025,12,Tuesday,0,-1,63.0
P33_C39_D64,2026-01-06 21:57:00,21:57 -> 23:00,21:57 -> 23:01,21:57,23:01,2025-12-30 21:57:00,7.0,2026,1,Tuesday,0,0,64.0
P33_C39_D64,2026-01-20 21:57:00,21:57 -> 23:01,21:57 -> 23:00,21:57,23:00,2026-01-15 21:57:00,5.0,2026,1,Tuesday,0,-1,63.0
P33_C39_D64,2026-01-21 21:57:00,21:57 -> 23:00,21:57 -> 23:01,21:57,23:01,2026-01-20 21:57:00,1.0,2026,1,Wednesday,0,0,64.0
P33_C39_D64,2026-01-22 21:57:00,21:57 -> 23:01,21:57 -> 23:00,21:57,23:00,2026-01-21 21:57:00,1.0,2026,1,Thursday,0,-1,63.0
P33_C39_D64,2026-01-26 21:57:00,21:57 -> 23:00,21:57 -> 23:01,21:57,23:01,2026-01-22 21:57:00,4.0,2026,1,Monday,0,0,64.0
P33_C39_D64,2026-02-09 21:57:00,21:57 -> 23:01,21:57 -> 23:02,21:57,23:02,2026-02-05 21:57:00,4.0,2026,2,Monday,0,1,65.0
P33_C39_D64,2026-02-10 21:57:00,21:57 -> 23:02,21:57 -> 23:01,21:57,23:01,2026-02-09 21:57:00,1.0,2026,2,Tuesday,0,0,64.0
P33_C39_D64,2026-02-11 21:57:00,21:57 -> 23:01,21:57 -> 23:02,21:57,23:02,2026-02-10 21:57:00,1.0,2026,2,Wednesday,0,1,65.0
P33_C39_D64,2026-02-12 21:57:00,21:57 -> 23:02,21:57 -> 23:00,21:57,23:00,2026-02-11 21:57:00,1.0,2026,2,Thursday,0,-1,63.0
P33_C39_D64,2026-02-17 21:57:00,21:57 -> 23:00,21:57 -> 23:02,21:57,23:02,2026-02-12 21:57:00,5.0,2026,2,Tuesday,0,1,65.0
P33_C39_D64,2026-02-18 21:57:00,21:57 -> 23:02,21:57 -> 23:01,21:57,23:01,2026-02-17 21:57:00,1.0,2026,2,Wednesday,0,0,64.0
P33_C39_D64,2026-02-23 21:57:00,21:57 -> 23:01,21:57 -> 23:00,21:57,23:00,2026-02-19 21:57:00,4.0,2026,2,Monday,0,-1,63.0
P33_C39_D64,2026-02-26 21:57:00,21:57 -> 23:00,21:57 -> 23:01,21:57,23:01,2026-02-25 21:57:00,1.0,2026,2,Thursday,0,0,64.0
P33_C39_D64,2026-03-02 21:57:00,21:57 -> 23:01,21:57 -> 23:00,21:57,23:00,2026-02-26 21:57:00,4.0,2026,3,Monday,0,-1,63.0
P33_C39_D64,2026-03-03 21:57:00,21:57 -> 23:00,21:57 -> 23:01,21:57,23:01,2026-03-02 21:57:00,1.0,2026,3,Tuesday,0,0,64.0
P33_C39_D64,2026-03-04 21:57:00,21:57 -> 23:01,21:57 -> 23:00,21:57,23:00,2026-03-03 21:57:00,1.0,2026,3,Wednesday,0,-1,63.0
