family_id,weekday,occurrences,unique_dates,median_gap_minutes,median_previous_minute,median_current_minute,median_previous_clock,median_current_clock
P30_C35_D64,Monday,149,149,64.0,1257.0,1321.0,20:57,22:01
P30_C35_D64,Tuesday,160,160,64.0,1257.0,1321.0,20:57,22:01
P30_C35_D64,Wednesday,157,157,64.0,1257.0,1321.0,20:57,22:01
P30_C35_D64,Thursday,153,153,64.0,1257.0,1321.0,20:57,22:01
P33_C39_D64,Monday,73,73,64.0,1317.0,1381.0,21:57,23:01
P33_C39_D64,Tuesday,85,85,64.0,1317.0,1381.0,21:57,23:01
P33_C39_D64,Wednesday,83,83,64.0,1317.0,1381.0,21:57,23:01
P33_C39_D64,Thursday,78,78,64.0,1317.0,1381.0,21:57,23:01
P41_C1_D2,Monday,15,15,2.0,1438.0,0.0,23:58,00:00
P41_C1_D2,Tuesday,13,13,2.0,1438.0,0.0,23:58,00:00
P41_C1_D2,Wednesday,12,12,2.0,1438.0,0.0,23:58,00:00
P41_C1_D2,Thursday,10,10,2.0,1438.0,0.0,23:58,00:00
P41_C1_D2,Sunday,9,9,2.0,1438.0,0.0,23:58,00:00
