year,family_id,occurrences,unique_dates,median_gap_minutes,min_gap_minutes,max_gap_minutes,median_previous_minute,median_current_minute,min_previous_minute,max_previous_minute,min_current_minute,max_current_minute,unique_weekdays,median_previous_clock,median_current_clock
2021,P30_C35_D64,11,11,63.0,63.0,63.0,1258.0,1321.0,1258,1258,1321,1321,4,20:58,22:01
2021,P33_C39_D64,30,30,63.0,63.0,63.0,1318.0,1381.0,1318,1318,1381,1381,4,21:58,23:01
2022,P30_C35_D64,131,131,64.0,63.0,64.0,1257.0,1321.0,1257,1258,1321,1321,4,20:57,22:01
2022,P33_C39_D64,67,67,63.0,63.0,64.0,1318.0,1381.0,1317,1318,1381,1381,4,21:58,23:01
2023,P30_C35_D64,130,130,64.0,64.0,64.0,1257.0,1321.0,1257,1257,1321,1321,4,20:57,22:01
2023,P33_C39_D64,67,67,64.0,64.0,64.0,1317.0,1381.0,1317,1317,1381,1381,4,21:57,23:01
2023,P41_C1_D2,5,5,2.0,2.0,2.0,1438.0,0.0,1438,1438,0,0,2,23:58,00:00
2024,P30_C35_D64,131,131,64.0,64.0,65.0,1257.0,1321.0,1256,1257,1321,1321,4,20:57,22:01
2024,P33_C39_D64,67,67,64.0,64.0,65.0,1317.0,1381.0,1316,1317,1381,1381,4,21:57,23:01
2024,P41_C1_D2,54,54,2.0,2.0,2.0,1438.0,0.0,1438,1438,0,0,5,23:58,00:00
2025,P30_C35_D64,128,128,65.0,64.0,65.0,1257.0,1322.0,1257,1257,1321,1322,4,20:57,22:02
2025,P33_C39_D64,59,59,64.0,63.0,65.0,1317.0,1381.0,1317,1317,1380,1382,4,21:57,23:01
2026,P30_C35_D64,88,88,63.0,63.0,65.0,1257.0,1320.0,1257,1257,1320,1322,4,20:57,22:00
2026,P33_C39_D64,29,29,64.0,63.0,65.0,1317.0,1381.0,1317,1317,1380,1382,4,21:57,23:01
