pattern_signature,occurrences,unique_dates,unique_weekdays,unique_years,median_gap_minutes,min_gap_minutes,max_gap_minutes,first_seen,last_seen,persistence_score
20:59 -> 21:01 | 2m,129,129,4,6,2.0,2.0,2.0,2021-10-21 20:59:00,2026-08-11 20:59:00,0.96
21:59 -> 22:01 | 2m,106,106,4,6,2.0,2.0,2.0,2021-11-09 21:59:00,2026-02-26 21:59:00,0.96
21:02 -> 21:04 | 2m,80,80,4,6,2.0,2.0,2.0,2021-08-17 21:02:00,2026-08-11 21:02:00,0.96
22:03 -> 22:05 | 2m,60,60,4,6,2.0,2.0,2.0,2021-08-25 22:03:00,2026-02-25 22:03:00,0.96
22:02 -> 22:04 | 2m,56,56,4,6,2.0,2.0,2.0,2021-08-24 22:02:00,2026-01-13 22:02:00,0.96
21:01 -> 21:03 | 2m,45,45,4,6,2.0,2.0,2.0,2021-08-19 21:01:00,2026-05-28 21:01:00,0.96
22:02 -> 22:05 | 4m,36,36,4,6,3.0,3.0,3.0,2021-08-23 22:02:00,2026-02-26 22:02:00,0.96
22:00 -> 22:02 | 2m,27,27,4,6,2.0,2.0,2.0,2021-09-07 22:00:00,2026-01-20 22:00:00,0.96
22:01 -> 22:03 | 2m,25,25,4,6,2.0,2.0,2.0,2021-08-25 22:01:00,2026-02-05 22:01:00,0.96
21:01 -> 21:04 | 4m,24,24,4,6,3.0,3.0,3.0,2021-08-24 21:01:00,2026-04-15 21:01:00,0.96
21:07 -> 21:09 | 2m,26,26,5,5,2.0,2.0,2.0,2021-09-23 21:07:00,2025-05-12 21:07:00,0.9166666666666667
21:02 -> 21:05 | 4m,47,47,4,5,3.0,3.0,3.0,2021-09-20 21:02:00,2026-07-30 21:02:00,0.8766666666666667
22:01 -> 22:05 | 4m,45,45,4,5,4.0,4.0,4.0,2021-11-09 22:01:00,2026-02-24 22:01:00,0.8766666666666667
21:08 -> 21:10 | 2m,38,38,4,5,2.0,2.0,2.0,2021-09-01 21:08:00,2026-07-15 21:08:00,0.8766666666666667
21:59 -> 22:05 | 6m,28,28,4,5,6.0,6.0,6.0,2022-11-21 21:59:00,2026-03-04 21:59:00,0.8766666666666667
21:01 -> 21:05 | 4m,26,26,4,5,4.0,4.0,4.0,2021-09-15 21:01:00,2026-04-28 21:01:00,0.8766666666666667
20:59 -> 21:02 | 4m,24,24,4,5,3.0,3.0,3.0,2022-05-04 20:59:00,2026-07-13 20:59:00,0.8766666666666667
21:18 -> 21:20 | 2m,29,29,5,4,2.0,2.0,2.0,2021-09-15 21:18:00,2025-09-17 21:18:00,0.8333333333333333
20:32 -> 20:34 | 2m,25,25,5,4,2.0,2.0,2.0,2021-09-28 20:32:00,2024-08-26 20:32:00,0.8333333333333333
20:41 -> 20:43 | 2m,23,23,5,4,2.0,2.0,2.0,2021-09-01 20:41:00,2024-08-21 20:41:00,0.8333333333333333
20:33 -> 20:35 | 2m,22,22,5,4,2.0,2.0,2.0,2021-08-24 20:33:00,2024-08-22 20:33:00,0.8333333333333333
20:38 -> 20:40 | 2m,21,21,5,4,2.0,2.0,2.0,2021-08-17 20:38:00,2024-08-22 20:38:00,0.8333333333333333
20:39 -> 20:41 | 2m,20,20,5,4,2.0,2.0,2.0,2021-09-13 20:39:00,2024-08-30 20:39:00,0.8333333333333333
21:03 -> 21:05 | 2m,69,69,4,4,2.0,2.0,2.0,2021-08-19 21:03:00,2026-08-10 21:03:00,0.7933333333333333
23:58 -> 00:00 | 2m,62,62,4,4,2.0,2.0,2.0,2021-09-01 23:58:00,2024-04-18 23:58:00,0.7933333333333333
21:00 -> 21:02 | 2m,44,44,4,4,2.0,2.0,2.0,2021-09-06 21:00:00,2025-07-30 21:00:00,0.7933333333333333
22:20 -> 22:22 | 2m,41,41,4,4,2.0,2.0,2.0,2021-08-18 22:20:00,2024-08-19 22:20:00,0.7933333333333333
22:55 -> 22:57 | 2m,37,37,4,4,2.0,2.0,2.0,2021-08-17 22:55:00,2024-08-26 22:55:00,0.7933333333333333
22:08 -> 22:10 | 2m,34,34,4,4,2.0,2.0,2.0,2021-08-19 22:08:00,2025-12-23 22:08:00,0.7933333333333333
22:07 -> 22:09 | 2m,33,33,4,4,2.0,2.0,2.0,2021-08-26 22:07:00,2026-01-22 22:07:00,0.7933333333333333
22:06 -> 22:08 | 2m,32,32,4,4,2.0,2.0,2.0,2021-09-07 22:06:00,2024-11-05 22:06:00,0.7933333333333333
22:51 -> 22:53 | 2m,32,32,4,4,2.0,2.0,2.0,2021-08-17 22:51:00,2024-08-19 22:51:00,0.7933333333333333
21:06 -> 21:08 | 2m,31,31,4,4,2.0,2.0,2.0,2021-09-08 21:06:00,2026-07-28 21:06:00,0.7933333333333333
22:13 -> 22:15 | 2m,29,29,4,4,2.0,2.0,2.0,2021-08-17 22:13:00,2025-11-17 22:13:00,0.7933333333333333
22:38 -> 22:40 | 2m,29,29,4,4,2.0,2.0,2.0,2021-09-02 22:38:00,2024-08-29 22:38:00,0.7933333333333333
22:23 -> 22:25 | 2m,28,28,4,4,2.0,2.0,2.0,2021-09-02 22:23:00,2024-08-21 22:23:00,0.7933333333333333
22:30 -> 22:32 | 2m,27,27,4,4,2.0,2.0,2.0,2021-08-30 22:30:00,2024-08-19 22:30:00,0.7933333333333333
22:37 -> 22:39 | 2m,26,26,4,4,2.0,2.0,2.0,2021-08-19 22:37:00,2024-08-27 22:37:00,0.7933333333333333
22:40 -> 22:42 | 2m,26,26,4,4,2.0,2.0,2.0,2021-08-23 22:40:00,2024-08-21 22:40:00,0.7933333333333333
22:24 -> 22:26 | 2m,23,23,4,4,2.0,2.0,2.0,2021-08-18 22:24:00,2024-08-27 22:24:00,0.7933333333333333
21:20 -> 21:22 | 2m,21,21,4,4,2.0,2.0,2.0,2021-08-24 21:20:00,2025-09-17 21:20:00,0.7933333333333333
22:42 -> 22:44 | 2m,21,21,4,4,2.0,2.0,2.0,2021-08-18 22:42:00,2024-08-29 22:42:00,0.7933333333333333
22:47 -> 22:49 | 2m,21,21,4,4,2.0,2.0,2.0,2021-09-08 22:47:00,2024-08-27 22:47:00,0.7933333333333333
23:16 -> 23:18 | 2m,21,21,4,4,2.0,2.0,2.0,2021-09-21 23:16:00,2024-08-26 23:16:00,0.7933333333333333
22:35 -> 22:37 | 2m,20,20,4,4,2.0,2.0,2.0,2021-08-19 22:35:00,2024-08-29 22:35:00,0.7933333333333333
