previous_year,previous_time,current_time,occurrences,median_gap_minutes,unique_weekdays
2021,23:53,23:55,19,2.0,5
2021,23:58,00:00,17,2.0,5
2021,20:41,20:43,16,2.0,4
2021,23:10,23:12,16,2.0,5
2021,23:22,23:24,16,2.0,5
2021,22:08,22:10,15,2.0,5
2021,23:00,23:02,15,2.0,5
2021,04:46,04:48,14,2.0,5
2021,21:05,21:07,14,2.0,5
2021,22:43,22:45,14,2.0,5
2021,23:45,23:47,14,2.0,5
2021,23:47,23:49,14,2.0,5
2021,20:08,20:10,13,2.0,5
2021,20:47,20:49,13,2.0,5
2021,21:15,21:17,13,2.0,5
2021,21:20,21:22,13,2.0,6
2021,21:26,21:28,13,2.0,4
2021,22:03,22:05,13,2.0,4
2021,00:27,00:29,12,2.0,4
2021,20:32,20:34,12,2.0,5
2021,20:45,20:47,12,2.0,5
2021,21:11,21:13,12,2.0,5
2021,21:13,21:15,12,2.0,5
2021,21:27,21:29,12,2.0,5
2021,21:35,21:37,12,2.0,5
2021,22:01,22:03,12,2.0,5
2021,22:10,22:12,12,2.0,5
2021,22:13,22:15,12,2.0,4
2021,22:26,22:28,12,2.0,5
2021,22:27,22:30,12,3.0,5
2021,22:30,22:32,12,2.0,5
2021,23:15,23:17,12,2.0,4
2021,23:18,23:20,12,2.0,5
2021,23:21,23:23,12,2.0,4
2021,04:42,04:44,11,2.0,5
2021,20:18,20:20,11,2.0,5
2021,20:52,20:54,11,2.0,5
2021,21:18,21:20,11,2.0,5
2021,21:22,21:24,11,2.0,5
2021,22:02,22:04,11,2.0,4
2021,22:06,22:08,11,2.0,5
2021,22:09,22:11,11,2.0,5
2021,22:22,22:24,11,2.0,5
2021,22:28,22:30,11,2.0,5
2021,22:41,22:43,11,2.0,5
2021,22:45,22:47,11,2.0,4
2021,22:55,22:57,11,2.0,5
2021,23:12,23:14,11,2.0,5
2021,23:13,23:15,11,2.0,5
2021,04:23,04:25,10,2.0,5
2021,04:51,04:53,10,2.0,3
2021,21:08,21:10,10,2.0,4
2021,21:10,21:12,10,2.0,5
2021,21:21,21:23,10,2.0,4
2021,21:30,21:32,10,2.0,6
2021,22:11,22:13,10,2.0,4
2021,22:15,22:17,10,2.0,5
2021,22:20,22:22,10,2.0,5
2021,23:03,23:05,10,2.0,4
2021,23:37,23:39,10,2.0,5
2021,23:41,23:43,10,2.0,5
2021,23:44,23:46,10,2.0,3
2021,23:48,23:50,10,2.0,4
2021,23:52,23:54,10,2.0,5
2021,03:35,03:37,9,2.0,5
2021,20:26,20:28,9,2.0,5
2021,20:30,20:32,9,2.0,5
2021,20:38,20:40,9,2.0,4
2021,21:03,21:05,9,2.0,3
2021,21:07,21:09,9,2.0,4
2021,21:14,21:16,9,2.0,5
2021,21:17,21:19,9,2.0,4
2021,21:28,21:30,9,2.0,4
2021,21:32,21:34,9,2.0,6
2021,21:36,21:38,9,2.0,6
2021,21:47,21:49,9,2.0,5
2021,22:07,22:09,9,2.0,3
2021,22:40,22:42,9,2.0,5
2021,22:42,22:44,9,2.0,5
2021,22:47,22:49,9,2.0,5
2021,22:49,22:51,9,2.0,5
2021,22:52,22:54,9,2.0,4
2021,22:57,22:59,9,2.0,4
2021,22:58,23:00,9,2.0,5
2021,23:02,23:04,9,2.0,5
2021,23:07,23:09,9,2.0,5
2021,23:24,23:26,9,2.0,5
2021,23:27,23:29,9,2.0,5
2021,23:34,23:36,9,2.0,5
2021,23:50,23:52,9,2.0,4
2021,23:55,23:57,9,2.0,5
2021,23:56,23:58,9,2.0,4
2021,20:07,20:09,8,2.0,4
2021,20:22,20:24,8,2.0,5
2021,20:35,20:37,8,2.0,4
2021,20:36,20:38,8,2.0,3
2021,20:37,20:39,8,2.0,5
2021,21:02,21:04,8,2.0,4
2021,21:37,21:39,8,2.0,5
2021,21:40,21:42,8,2.0,4
2021,22:16,22:18,8,2.0,5
2021,22:25,22:27,8,2.0,5
2021,22:35,22:37,8,2.0,4
2021,22:54,22:56,8,2.0,4
2021,23:16,23:18,8,2.0,4
2021,23:25,23:27,8,2.0,4
