pattern_signature,occurrences,unique_dates,unique_weekdays,unique_years,median_gap_minutes,min_gap_minutes,max_gap_minutes,first_seen,last_seen,persistence_score
20:59 -> 21:01 | 2m,188,188,4,6,2.0,2.0,2.0,2021-10-21 20:59:00,2026-08-12 20:59:00,0.96
21:59 -> 22:01 | 2m,119,119,4,6,2.0,2.0,2.0,2021-11-09 21:59:00,2026-03-05 21:59:00,0.96
21:02 -> 21:04 | 2m,90,90,4,6,2.0,2.0,2.0,2021-08-25 21:02:00,2026-06-18 21:02:00,0.96
22:01 -> 22:03 | 2m,83,83,4,6,2.0,2.0,2.0,2021-08-25 22:01:00,2026-02-26 22:01:00,0.96
22:03 -> 22:05 | 2m,76,76,4,6,2.0,2.0,2.0,2021-08-17 22:03:00,2026-02-26 22:03:00,0.96
21:01 -> 21:03 | 2m,72,72,4,6,2.0,2.0,2.0,2021-09-15 21:01:00,2026-08-12 21:01:00,0.96
22:02 -> 22:04 | 2m,58,58,4,6,2.0,2.0,2.0,2021-08-18 22:02:00,2026-02-09 22:02:00,0.96
21:01 -> 21:04 | 4m,55,55,4,6,3.0,3.0,3.0,2021-08-19 21:01:00,2026-05-13 21:01:00,0.96
21:00 -> 21:02 | 2m,48,48,4,6,2.0,2.0,2.0,2021-08-24 21:00:00,2026-04-30 21:00:00,0.96
21:59 -> 22:05 | 6m,27,27,4,6,6.0,6.0,6.0,2021-12-27 21:59:00,2026-03-02 21:59:00,0.96
22:01 -> 22:04 | 4m,24,24,4,6,3.0,3.0,3.0,2021-12-23 22:01:00,2026-02-11 22:01:00,0.96
21:18 -> 21:20 | 2m,38,38,5,5,2.0,2.0,2.0,2021-08-18 21:18:00,2026-04-30 21:18:00,0.9166666666666667
21:27 -> 21:29 | 2m,30,30,5,5,2.0,2.0,2.0,2021-09-06 21:27:00,2026-05-07 21:27:00,0.9166666666666667
22:07 -> 22:09 | 2m,48,48,4,5,2.0,2.0,2.0,2021-09-16 22:07:00,2026-02-03 22:07:00,0.8766666666666667
21:00 -> 21:03 | 4m,31,31,4,5,3.0,3.0,3.0,2021-09-02 21:00:00,2026-03-25 21:00:00,0.8766666666666667
21:01 -> 21:05 | 4m,30,30,4,5,4.0,4.0,4.0,2021-09-06 21:01:00,2026-07-23 21:01:00,0.8766666666666667
21:02 -> 21:05 | 4m,28,28,4,5,3.0,3.0,3.0,2021-08-23 21:02:00,2026-08-10 21:02:00,0.8766666666666667
22:02 -> 22:05 | 4m,28,28,4,5,3.0,3.0,3.0,2021-08-24 22:02:00,2026-03-04 22:02:00,0.8766666666666667
20:59 -> 21:02 | 4m,24,24,4,5,3.0,3.0,3.0,2022-07-05 20:59:00,2026-08-10 20:59:00,0.8766666666666667
22:00 -> 22:02 | 2m,23,23,4,5,2.0,2.0,2.0,2021-09-07 22:00:00,2025-03-06 22:00:00,0.8766666666666667
21:03 -> 21:05 | 2m,66,66,5,4,2.0,2.0,2.0,2021-08-30 21:03:00,2026-08-03 21:03:00,0.8333333333333333
21:10 -> 21:12 | 2m,46,46,5,4,2.0,2.0,2.0,2021-08-23 21:10:00,2026-04-30 21:10:00,0.8333333333333333
21:15 -> 21:17 | 2m,44,44,5,4,2.0,2.0,2.0,2021-08-31 21:15:00,2026-05-07 21:15:00,0.8333333333333333
21:13 -> 21:15 | 2m,43,43,5,4,2.0,2.0,2.0,2021-08-31 21:13:00,2026-04-30 21:13:00,0.8333333333333333
21:22 -> 21:24 | 2m,42,42,5,4,2.0,2.0,2.0,2021-08-18 21:22:00,2026-04-27 21:22:00,0.8333333333333333
20:45 -> 20:47 | 2m,36,36,5,4,2.0,2.0,2.0,2021-08-18 20:45:00,2024-08-30 20:45:00,0.8333333333333333
21:07 -> 21:09 | 2m,36,36,5,4,2.0,2.0,2.0,2021-08-17 21:07:00,2025-04-15 21:07:00,0.8333333333333333
21:21 -> 21:23 | 2m,34,34,5,4,2.0,2.0,2.0,2021-08-26 21:21:00,2024-05-06 21:21:00,0.8333333333333333
21:24 -> 21:26 | 2m,33,33,5,4,2.0,2.0,2.0,2021-09-14 21:24:00,2026-05-07 21:24:00,0.8333333333333333
20:30 -> 20:32 | 2m,32,32,5,4,2.0,2.0,2.0,2021-08-30 20:30:00,2024-08-30 20:30:00,0.8333333333333333
20:52 -> 20:54 | 2m,32,32,5,4,2.0,2.0,2.0,2021-08-23 20:52:00,2024-08-29 20:52:00,0.8333333333333333
21:45 -> 21:47 | 2m,32,32,5,4,2.0,2.0,2.0,2021-08-24 21:45:00,2024-08-19 21:45:00,0.8333333333333333
20:35 -> 20:37 | 2m,30,30,5,4,2.0,2.0,2.0,2021-08-23 20:35:00,2024-08-22 20:35:00,0.8333333333333333
20:37 -> 20:39 | 2m,28,28,5,4,2.0,2.0,2.0,2021-08-25 20:37:00,2024-08-26 20:37:00,0.8333333333333333
20:47 -> 20:49 | 2m,27,27,5,4,2.0,2.0,2.0,2021-08-19 20:47:00,2024-08-30 20:47:00,0.8333333333333333
21:12 -> 21:14 | 2m,27,27,5,4,2.0,2.0,2.0,2021-11-17 21:12:00,2026-04-29 21:12:00,0.8333333333333333
20:31 -> 20:33 | 2m,25,25,5,4,2.0,2.0,2.0,2021-09-14 20:31:00,2024-08-26 20:31:00,0.8333333333333333
20:26 -> 20:28 | 2m,24,24,5,4,2.0,2.0,2.0,2021-08-23 20:26:00,2024-08-22 20:26:00,0.8333333333333333
20:18 -> 20:20 | 2m,22,22,5,4,2.0,2.0,2.0,2021-08-17 20:18:00,2024-08-20 20:18:00,0.8333333333333333
20:21 -> 20:23 | 2m,22,22,5,4,2.0,2.0,2.0,2021-08-31 20:21:00,2024-08-26 20:21:00,0.8333333333333333
20:40 -> 20:42 | 2m,21,21,5,4,2.0,2.0,2.0,2021-08-24 20:40:00,2024-08-26 20:40:00,0.8333333333333333
23:58 -> 00:00 | 2m,70,70,4,4,2.0,2.0,2.0,2021-08-23 23:58:00,2024-04-18 23:58:00,0.7933333333333333
22:46 -> 22:48 | 2m,35,35,4,4,2.0,2.0,2.0,2021-08-25 22:46:00,2024-08-29 22:46:00,0.7933333333333333
22:38 -> 22:40 | 2m,34,34,4,4,2.0,2.0,2.0,2021-09-22 22:38:00,2024-08-21 22:38:00,0.7933333333333333
22:09 -> 22:11 | 2m,33,33,4,4,2.0,2.0,2.0,2021-08-18 22:09:00,2024-08-21 22:09:00,0.7933333333333333
22:15 -> 22:17 | 2m,32,32,4,4,2.0,2.0,2.0,2021-08-23 22:15:00,2024-12-25 22:15:00,0.7933333333333333
22:13 -> 22:15 | 2m,31,31,4,4,2.0,2.0,2.0,2021-09-16 22:13:00,2026-02-03 22:13:00,0.7933333333333333
23:46 -> 23:48 | 2m,31,31,4,4,2.0,2.0,2.0,2021-09-07 23:46:00,2024-08-27 23:46:00,0.7933333333333333
21:07 -> 21:10 | 4m,30,30,4,4,3.0,3.0,3.0,2021-08-23 21:07:00,2026-04-30 21:07:00,0.7933333333333333
22:49 -> 22:51 | 2m,30,30,4,4,2.0,2.0,2.0,2021-08-17 22:49:00,2024-08-29 22:49:00,0.7933333333333333
22:26 -> 22:28 | 2m,29,29,4,4,2.0,2.0,2.0,2021-08-17 22:26:00,2024-08-29 22:26:00,0.7933333333333333
22:57 -> 22:59 | 2m,29,29,4,4,2.0,2.0,2.0,2021-08-25 22:57:00,2024-08-26 22:57:00,0.7933333333333333
22:16 -> 22:18 | 2m,28,28,4,4,2.0,2.0,2.0,2021-08-26 22:16:00,2024-08-29 22:16:00,0.7933333333333333
22:30 -> 22:32 | 2m,28,28,4,4,2.0,2.0,2.0,2021-08-30 22:30:00,2024-08-19 22:30:00,0.7933333333333333
22:47 -> 22:49 | 2m,28,28,4,4,2.0,2.0,2.0,2021-08-18 22:47:00,2024-08-19 22:47:00,0.7933333333333333
22:48 -> 22:50 | 2m,27,27,4,4,2.0,2.0,2.0,2021-09-13 22:48:00,2024-08-20 22:48:00,0.7933333333333333
22:58 -> 23:00 | 2m,27,27,4,4,2.0,2.0,2.0,2021-08-18 22:58:00,2024-08-22 22:58:00,0.7933333333333333
23:40 -> 23:42 | 2m,26,26,4,4,2.0,2.0,2.0,2021-10-11 23:40:00,2024-08-27 23:40:00,0.7933333333333333
22:17 -> 22:19 | 2m,25,25,4,4,2.0,2.0,2.0,2021-08-19 22:17:00,2024-12-25 22:17:00,0.7933333333333333
23:28 -> 23:30 | 2m,25,25,4,4,2.0,2.0,2.0,2021-09-27 23:28:00,2024-08-26 23:28:00,0.7933333333333333
22:34 -> 22:36 | 2m,24,24,4,4,2.0,2.0,2.0,2021-08-17 22:34:00,2024-08-19 22:34:00,0.7933333333333333
22:36 -> 22:38 | 2m,23,23,4,4,2.0,2.0,2.0,2021-10-14 22:36:00,2024-08-19 22:36:00,0.7933333333333333
22:51 -> 22:53 | 2m,23,23,4,4,2.0,2.0,2.0,2021-09-15 22:51:00,2024-08-26 22:51:00,0.7933333333333333
23:02 -> 23:04 | 2m,23,23,4,4,2.0,2.0,2.0,2021-08-19 23:02:00,2024-08-29 23:02:00,0.7933333333333333
23:44 -> 23:46 | 2m,23,23,4,4,2.0,2.0,2.0,2021-08-31 23:44:00,2024-08-22 23:44:00,0.7933333333333333
22:42 -> 22:44 | 2m,22,22,4,4,2.0,2.0,2.0,2021-08-18 22:42:00,2024-08-26 22:42:00,0.7933333333333333
22:53 -> 22:55 | 2m,22,22,4,4,2.0,2.0,2.0,2021-09-28 22:53:00,2024-08-27 22:53:00,0.7933333333333333
23:49 -> 23:51 | 2m,22,22,4,4,2.0,2.0,2.0,2021-08-17 23:49:00,2024-08-22 23:49:00,0.7933333333333333
21:12 -> 21:15 | 4m,20,20,4,4,3.0,3.0,3.0,2021-08-25 21:12:00,2026-05-07 21:12:00,0.7933333333333333
21:26 -> 21:28 | 2m,49,49,5,3,2.0,2.0,2.0,2021-09-20 21:26:00,2023-09-19 21:26:00,0.75
21:08 -> 21:10 | 2m,48,48,5,3,2.0,2.0,2.0,2021-08-25 21:08:00,2023-10-25 21:08:00,0.75
21:20 -> 21:22 | 2m,41,41,5,3,2.0,2.0,2.0,2021-08-18 21:20:00,2023-10-05 21:20:00,0.75
21:17 -> 21:19 | 2m,39,39,5,3,2.0,2.0,2.0,2021-09-15 21:17:00,2023-10-16 21:17:00,0.75
21:32 -> 21:34 | 2m,37,37,5,3,2.0,2.0,2.0,2021-08-25 21:32:00,2023-06-12 21:32:00,0.75
21:16 -> 21:18 | 2m,36,36,5,3,2.0,2.0,2.0,2021-09-07 21:16:00,2023-10-04 21:16:00,0.75
21:05 -> 21:07 | 2m,35,35,5,3,2.0,2.0,2.0,2021-08-25 21:05:00,2023-09-05 21:05:00,0.75
21:06 -> 21:08 | 2m,35,35,5,3,2.0,2.0,2.0,2021-09-22 21:06:00,2023-09-11 21:06:00,0.75
