previous_year,previous_time,current_time,occurrences,median_gap_minutes,unique_weekdays
2021,21:58,23:01,30,63.0,4
2022,20:57,22:01,127,64.0,4
2022,21:58,23:01,38,63.0,4
2022,21:57,23:01,29,64.0,4
2023,20:57,22:01,130,64.0,4
2023,21:57,23:01,67,64.0,4
2023,23:58,00:00,5,2.0,2
2024,20:57,22:01,110,64.0,4
2024,23:58,00:00,54,2.0,5
2024,21:57,23:01,45,64.0,4
2025,20:57,22:02,84,65.0,4
2025,20:57,22:01,44,64.0,4
2025,21:57,23:00,27,63.0,4
2025,21:57,23:01,27,64.0,4
2026,20:57,22:01,22,64.0,4
2026,21:57,23:01,19,64.0,4
2026,21:57,23:00,7,63.0,4
2026,20:57,22:02,3,65.0,2
