boundary_family,previous_year,occurrences,median_previous_minute,median_current_minute,median_gap_minutes,previous_time,current_time
P101_C101_D2,2021,13,1062.0,1064.0,2.0,17:42,17:44
P101_C101_D2,2022,7,1061.0,1063.0,2.0,17:41,17:43
P101_C101_D2,2023,5,1066.0,1068.0,2.0,17:46,17:48
P104_C104_D2,2021,12,1096.5,1098.5,2.0,18:16,18:18
P104_C104_D2,2022,7,1095.0,1097.0,2.0,18:15,18:17
P104_C104_D2,2023,2,1090.0,1092.0,2.0,18:10,18:12
P106_C106_D2,2021,13,1115.0,1117.0,2.0,18:35,18:37
P106_C106_D2,2022,7,1115.0,1117.0,2.0,18:35,18:37
P106_C106_D2,2023,3,1116.0,1118.0,2.0,18:36,18:38
P107_C107_D2,2021,16,1125.5,1127.5,2.0,18:46,18:48
P107_C107_D2,2022,11,1126.0,1128.0,2.0,18:46,18:48
P107_C107_D2,2023,4,1126.0,1128.0,2.0,18:46,18:48
P110_C110_D2,2021,20,1157.0,1159.0,2.0,19:17,19:19
P110_C110_D2,2022,7,1158.0,1160.0,2.0,19:18,19:20
P110_C110_D2,2023,10,1157.0,1159.0,2.0,19:17,19:19
P111_C111_D2,2021,22,1166.5,1168.5,2.0,19:26,19:28
P111_C111_D2,2022,6,1166.0,1168.0,2.0,19:26,19:28
P111_C111_D2,2023,6,1163.0,1165.0,2.0,19:23,19:25
P112_C112_D2,2021,25,1177.0,1179.0,2.0,19:37,19:39
P112_C112_D2,2022,8,1176.0,1178.0,2.0,19:36,19:38
P112_C112_D2,2023,6,1177.5,1179.5,2.0,19:38,19:40
P113_C113_D2,2021,16,1185.0,1187.0,2.0,19:45,19:47
P113_C113_D2,2022,6,1186.5,1188.5,2.0,19:46,19:48
P113_C113_D2,2023,8,1189.0,1191.0,2.0,19:49,19:51
P115_C114_D2,2021,10,1203.0,1205.0,2.0,20:03,20:05
P115_C114_D2,2022,10,1203.5,1205.5,2.0,20:04,20:06
P115_C114_D2,2023,8,1204.0,1206.0,2.0,20:04,20:06
P115_C115_D2,2021,20,1207.5,1209.5,2.0,20:08,20:10
P115_C115_D2,2022,27,1207.0,1209.0,2.0,20:07,20:09
P115_C115_D2,2023,16,1208.0,1210.0,2.0,20:08,20:10
P115_C115_D2,2024,1,1208.0,1210.0,2.0,20:08,20:10
P115_C115_D4,2021,13,1208.0,1212.0,3.0,20:08,20:12
P115_C115_D4,2022,6,1207.5,1211.0,3.0,20:08,20:11
P115_C115_D4,2023,2,1207.0,1210.0,3.0,20:07,20:10
P116_C115_D2,2021,29,1214.0,1216.0,2.0,20:14,20:16
P116_C115_D2,2022,14,1213.0,1215.0,2.0,20:13,20:15
P116_C115_D2,2023,8,1214.0,1216.0,2.0,20:14,20:16
