boundary_family,occurrences,unique_dates,unique_years,unique_weekdays,median_gap_minutes,min_gap_minutes,max_gap_minutes,median_previous_minute,median_current_minute,first_seen,last_seen,year_persistence,date_persistence,weekday_persistence,persistence_score,boundary_strength
P126_C126_D2,212,201,6,6,2.0,2.0,2.0,1319.0,1321.0,2021-08-25 22:01:00,2026-02-26 21:59:00,1.0,0.9481132075471698,1.2,1.024433962264151,217.18
P120_C120_D2,229,213,6,4,2.0,2.0,2.0,1259.0,1261.0,2021-08-19 21:01:00,2026-08-11 20:59:00,1.0,0.9301310043668122,0.8,0.9390393013100437,215.04
P121_C121_D2,190,161,6,6,2.0,2.0,2.0,1268.0,1270.0,2021-08-22 21:08:00,2026-07-28 21:06:00,1.0,0.8473684210526315,1.2,0.9942105263157894,188.9
P127_C127_D2,193,167,6,5,2.0,2.0,2.0,1328.0,1330.0,2021-08-17 22:11:00,2026-01-22 22:07:00,1.0,0.8652849740932642,1.0,0.9595854922279792,185.2
P121_C120_D2,170,164,6,5,2.0,2.0,2.0,1263.0,1265.0,2021-08-17 21:02:00,2026-08-11 21:02:00,1.0,0.9647058823529412,1.0,0.9894117647058824,168.20000000000002
P122_C122_D2,184,151,5,6,2.0,2.0,2.0,1278.0,1280.0,2021-08-17 21:19:00,2025-09-17 21:20:00,0.8333333333333334,0.8206521739130435,1.2,0.9028623188405798,166.12666666666667
P127_C126_D2,160,145,6,5,2.0,2.0,2.0,1323.0,1325.0,2021-08-24 22:02:00,2026-02-25 22:03:00,1.0,0.90625,1.0,0.971875,155.5
P128_C128_D2,191,159,4,5,2.0,2.0,2.0,1338.0,1340.0,2021-08-18 22:20:00,2024-08-19 22:20:00,0.6666666666666666,0.8324607329842932,1.0,0.7830715532286212,149.56666666666666
P131_C131_D2,180,144,4,5,2.0,2.0,2.0,1369.0,1371.0,2021-08-17 22:46:00,2024-08-27 22:47:00,0.6666666666666666,0.8,1.0,0.7733333333333332,139.2
P125_C125_D2,152,131,5,6,2.0,2.0,2.0,1308.0,1310.0,2021-08-17 21:50:00,2025-04-06 21:50:00,0.8333333333333334,0.8618421052631579,1.2,0.915219298245614,139.11333333333332
P130_C130_D2,177,149,4,5,2.0,2.0,2.0,1358.0,1360.0,2021-08-19 22:37:00,2024-08-29 22:38:00,0.6666666666666666,0.8418079096045198,1.0,0.7858757062146893,139.1
P123_C123_D2,179,157,3,6,2.0,2.0,2.0,1288.0,1290.0,2021-08-17 21:31:00,2023-11-01 21:28:00,0.5,0.8770949720670391,1.2,0.7531284916201118,134.81
P124_C124_D2,173,142,3,6,2.0,2.0,2.0,1299.0,1301.0,2021-08-24 21:37:00,2023-10-29 21:38:00,0.5,0.8208092485549133,1.2,0.7362427745664739,127.36999999999999
P129_C129_D2,160,140,4,5,2.0,2.0,2.0,1348.0,1350.0,2021-08-17 22:28:00,2024-08-29 22:31:00,0.6666666666666666,0.875,1.0,0.7958333333333334,127.33333333333334
P126_C126_D4,127,127,6,5,4.0,3.0,5.0,1320.0,1324.0,2021-08-31 21:55:00,2026-02-24 22:01:00,1.0,1.0,1.0,1.0,127.0
P120_C120_D4,123,123,6,4,3.0,3.0,5.0,1260.0,1264.0,2021-08-18 21:00:00,2026-07-23 21:00:00,1.0,1.0,0.8,0.9600000000000001,118.08000000000001
P127_C127_D4,108,99,6,5,3.0,3.0,5.0,1327.0,1330.0,2021-08-17 22:08:00,2026-02-15 22:05:00,1.0,0.9166666666666666,1.0,0.9749999999999999,105.29999999999998
