boundary_family,previous_year,occurrences,median_previous_minute,median_current_minute,median_gap_minutes,previous_time,current_time
P100_C99_D2,2021,19,1042.0,1044.0,2.0,17:22,17:24
P100_C99_D2,2022,8,1041.0,1043.0,2.0,17:21,17:23
P100_C99_D2,2023,2,1040.0,1042.0,2.0,17:20,17:22
P101_C100_D2,2021,13,1049.0,1051.0,2.0,17:29,17:31
P101_C100_D2,2022,15,1051.0,1053.0,2.0,17:31,17:33
P101_C100_D2,2023,3,1054.0,1056.0,2.0,17:34,17:36
P102_C101_D2,2021,17,1061.0,1063.0,2.0,17:41,17:43
P102_C101_D2,2022,7,1060.0,1062.0,2.0,17:40,17:42
P102_C101_D2,2023,6,1060.5,1062.5,2.0,17:40,17:42
P103_C102_D2,2021,19,1070.0,1072.0,2.0,17:50,17:52
P103_C102_D2,2022,9,1072.0,1074.0,2.0,17:52,17:54
P103_C102_D2,2023,3,1068.0,1070.0,2.0,17:48,17:50
P104_C103_D2,2021,19,1084.0,1086.0,2.0,18:04,18:06
P104_C103_D2,2022,11,1083.0,1085.0,2.0,18:03,18:05
P104_C103_D2,2023,4,1084.5,1086.5,2.0,18:04,18:06
P105_C104_D2,2021,19,1094.0,1096.0,2.0,18:14,18:16
P105_C104_D2,2022,11,1093.0,1095.0,2.0,18:13,18:15
P105_C104_D2,2023,2,1091.5,1093.5,2.0,18:12,18:14
P105_C104_D2,2024,1,1092.0,1094.0,2.0,18:12,18:14
P106_C105_D2,2021,16,1103.5,1105.5,2.0,18:24,18:26
P106_C105_D2,2022,7,1103.0,1105.0,2.0,18:23,18:25
P106_C105_D2,2023,3,1103.0,1105.0,2.0,18:23,18:25
P106_C105_D2,2024,1,1107.0,1109.0,2.0,18:27,18:29
P107_C106_D2,2021,10,1113.5,1115.5,2.0,18:34,18:36
P107_C106_D2,2022,10,1112.5,1114.5,2.0,18:32,18:34
P107_C106_D2,2023,2,1114.0,1116.0,2.0,18:34,18:36
P108_C107_D2,2021,19,1123.0,1125.0,2.0,18:43,18:45
P108_C107_D2,2022,12,1123.5,1125.5,2.0,18:44,18:46
P108_C107_D2,2023,6,1125.0,1127.0,2.0,18:45,18:47
P109_C108_D2,2021,20,1132.5,1134.5,2.0,18:52,18:54
P109_C108_D2,2022,9,1133.0,1135.0,2.0,18:53,18:55
P109_C108_D2,2023,5,1133.0,1135.0,2.0,18:53,18:55
P109_C108_D2,2024,1,1133.0,1135.0,2.0,18:53,18:55
P10_C10_D2,2021,41,96.0,98.0,2.0,01:36,01:38
P10_C10_D2,2022,16,94.5,96.5,2.0,01:34,01:36
P10_C10_D2,2023,1,99.0,101.0,2.0,01:39,01:41
P110_C109_D2,2021,27,1146.0,1148.0,2.0,19:06,19:08
P110_C109_D2,2022,13,1146.0,1148.0,2.0,19:06,19:08
P110_C109_D2,2023,3,1141.0,1143.0,2.0,19:01,19:03
P110_C109_D2,2024,1,1145.0,1147.0,2.0,19:05,19:07
P111_C110_D2,2021,25,1155.0,1157.0,2.0,19:15,19:17
P111_C110_D2,2022,17,1155.0,1157.0,2.0,19:15,19:17
P111_C110_D2,2023,9,1156.0,1158.0,2.0,19:16,19:18
P111_C110_D2,2024,1,1159.0,1161.0,2.0,19:19,19:21
P112_C111_D2,2021,34,1164.0,1166.0,2.0,19:24,19:26
P112_C111_D2,2022,11,1165.0,1167.0,2.0,19:25,19:27
P112_C111_D2,2023,3,1167.0,1169.0,2.0,19:27,19:29
P112_C111_D2,2024,3,1165.0,1167.0,2.0,19:25,19:27
P113_C112_D2,2021,34,1173.5,1175.5,2.0,19:34,19:36
P113_C112_D2,2022,12,1174.5,1176.5,2.0,19:34,19:36
P114_C113_D2,2021,35,1184.0,1186.0,2.0,19:44,19:46
P114_C113_D2,2022,12,1185.5,1187.5,2.0,19:46,19:48
P114_C113_D2,2023,5,1183.0,1185.0,2.0,19:43,19:45
P114_C113_D2,2024,1,1185.0,1187.0,2.0,19:45,19:47
P115_C114_D2,2021,14,1195.0,1197.0,2.0,19:55,19:57
P115_C114_D2,2022,8,1193.5,1195.5,2.0,19:54,19:56
P115_C114_D2,2023,4,1194.5,1196.5,2.0,19:54,19:56
P116_C115_D2,2021,54,1206.0,1208.0,2.0,20:06,20:08
P116_C115_D2,2022,37,1207.0,1209.0,2.0,20:07,20:09
P116_C115_D2,2023,16,1205.0,1207.0,2.0,20:05,20:07
P116_C115_D2,2024,4,1204.0,1206.0,2.0,20:04,20:06
P116_C115_D4,2021,16,1205.0,1208.0,3.0,20:05,20:08
P116_C115_D4,2022,7,1205.0,1208.0,3.0,20:05,20:08
P116_C115_D4,2023,3,1205.0,1209.0,3.0,20:05,20:09
P116_C115_D4,2024,3,1208.0,1211.0,3.0,20:08,20:11
P117_C116_D2,2021,68,1215.0,1217.0,2.0,20:15,20:17
P117_C116_D2,2022,52,1215.0,1217.0,2.0,20:15,20:17
P117_C116_D2,2023,16,1215.5,1217.5,2.0,20:16,20:18
P117_C116_D2,2024,10,1214.5,1216.5,2.0,20:14,20:16
P117_C116_D4,2021,28,1213.5,1217.0,3.0,20:14,20:17
P117_C116_D4,2022,12,1215.5,1219.0,3.0,20:16,20:19
P117_C116_D4,2023,3,1210.0,1213.0,3.0,20:10,20:13
P118_C117_D2,2021,62,1224.5,1226.5,2.0,20:24,20:26
P118_C117_D2,2022,87,1223.0,1225.0,2.0,20:23,20:25
P118_C117_D2,2023,27,1224.0,1226.0,2.0,20:24,20:26
P118_C117_D2,2024,6,1224.0,1226.0,2.0,20:24,20:26
P118_C117_D4,2021,30,1223.0,1227.0,4.0,20:23,20:27
P118_C117_D4,2022,15,1223.0,1227.0,3.0,20:23,20:27
P118_C117_D4,2023,9,1224.0,1227.0,3.0,20:24,20:27
P118_C117_D4,2024,2,1222.5,1225.5,3.0,20:22,20:26
P119_C118_D2,2021,73,1235.0,1237.0,2.0,20:35,20:37
P119_C118_D2,2022,129,1234.0,1236.0,2.0,20:34,20:36
P119_C118_D2,2023,35,1233.0,1235.0,2.0,20:33,20:35
P119_C118_D2,2024,5,1233.0,1235.0,2.0,20:33,20:35
P119_C118_D4,2021,34,1233.0,1237.0,3.0,20:33,20:37
P119_C118_D4,2022,30,1233.0,1236.0,3.0,20:33,20:36
P119_C118_D4,2023,7,1232.0,1235.0,3.0,20:32,20:35
P119_C118_D4,2024,3,1234.0,1238.0,3.0,20:34,20:38
P11_C11_D2,2021,46,105.0,107.0,2.0,01:45,01:47
P11_C11_D2,2022,13,103.0,105.0,2.0,01:43,01:45
P11_C11_D2,2023,2,105.0,107.0,2.0,01:45,01:47
P120_C119_D2,2021,65,1245.0,1247.0,2.0,20:45,20:47
P120_C119_D2,2022,104,1245.0,1247.0,2.0,20:45,20:47
P120_C119_D2,2023,26,1245.5,1247.5,2.0,20:46,20:48
P120_C119_D2,2024,6,1244.5,1246.5,2.0,20:44,20:46
P120_C119_D4,2021,16,1244.0,1247.0,3.0,20:44,20:47
P120_C119_D4,2022,26,1245.0,1248.0,3.0,20:45,20:48
P120_C119_D4,2023,3,1242.0,1245.0,3.0,20:42,20:45
P120_C119_D4,2024,1,1246.0,1249.0,3.0,20:46,20:49
P121_C120_D2,2021,36,1253.0,1255.0,2.0,20:53,20:55
P121_C120_D2,2022,84,1252.5,1254.5,2.0,20:52,20:54
P121_C120_D2,2023,42,1259.0,1261.0,2.0,20:59,21:01
P121_C120_D2,2024,51,1259.0,1261.0,2.0,20:59,21:01
P121_C120_D2,2025,56,1259.0,1261.0,2.0,20:59,21:01
P121_C120_D2,2026,33,1259.0,1261.0,2.0,20:59,21:01
P121_C120_D4,2021,4,1251.0,1254.0,3.0,20:51,20:54
P121_C120_D4,2022,11,1250.0,1254.0,3.0,20:50,20:54
P121_C120_D4,2023,5,1251.0,1254.0,3.0,20:51,20:54
P121_C120_D4,2024,1,1251.0,1254.0,3.0,20:51,20:54
P121_C121_D4,2021,2,1259.0,1264.0,5.0,20:59,21:04
P121_C121_D4,2022,2,1259.0,1263.0,4.0,20:59,21:03
P121_C121_D4,2023,5,1259.0,1262.0,3.0,20:59,21:02
P121_C121_D4,2024,5,1259.0,1263.0,4.0,20:59,21:03
P121_C121_D4,2025,19,1259.0,1263.0,4.0,20:59,21:03
P121_C121_D4,2026,20,1259.0,1262.5,3.5,20:59,21:02
P122_C121_D2,2021,67,1265.0,1267.0,2.0,21:05,21:07
P122_C121_D2,2022,183,1265.0,1267.0,2.0,21:05,21:07
P122_C121_D2,2023,145,1263.0,1265.0,2.0,21:03,21:05
P122_C121_D2,2024,41,1262.0,1264.0,2.0,21:02,21:04
P122_C121_D2,2025,31,1262.0,1264.0,2.0,21:02,21:04
P122_C121_D2,2026,22,1262.0,1264.0,2.0,21:02,21:04
P122_C121_D4,2021,45,1265.0,1269.0,3.0,21:05,21:09
P122_C121_D4,2022,92,1264.0,1267.5,3.0,21:04,21:08
P122_C121_D4,2023,77,1262.0,1265.0,3.0,21:02,21:05
P122_C121_D4,2024,20,1261.0,1264.0,3.0,21:01,21:04
P122_C121_D4,2025,20,1261.0,1264.0,3.0,21:01,21:04
P122_C121_D4,2026,24,1261.0,1265.0,4.0,21:01,21:05
P122_C122_D4,2021,3,1269.0,1272.0,5.0,21:09,21:12
P122_C122_D4,2022,19,1269.0,1272.0,4.0,21:09,21:12
P122_C122_D4,2023,8,1268.5,1273.0,4.0,21:08,21:13
P123_C122_D2,2021,94,1274.0,1276.0,2.0,21:14,21:16
P123_C122_D2,2022,162,1275.0,1277.0,2.0,21:15,21:17
P123_C122_D2,2023,129,1274.0,1276.0,2.0,21:14,21:16
P123_C122_D2,2024,1,1278.0,1280.0,2.0,21:18,21:20
P123_C122_D2,2025,3,1277.0,1279.0,2.0,21:17,21:19
P123_C122_D2,2026,7,1273.0,1275.0,2.0,21:13,21:15
P123_C122_D4,2021,51,1274.0,1277.0,3.0,21:14,21:17
P123_C122_D4,2022,99,1274.0,1277.0,3.0,21:14,21:17
P123_C122_D4,2023,55,1273.0,1276.0,3.0,21:13,21:16
P123_C122_D4,2024,1,1270.0,1273.0,3.0,21:10,21:13
P123_C122_D4,2026,4,1274.0,1277.0,3.0,21:14,21:17
P123_C123_D4,2021,4,1278.0,1282.0,4.0,21:18,21:22
P123_C123_D4,2022,15,1279.0,1282.0,4.0,21:19,21:22
P123_C123_D4,2023,10,1279.0,1282.5,4.0,21:19,21:22
P123_C123_D4,2025,1,1278.0,1283.0,5.0,21:18,21:23
P124_C123_D2,2021,84,1285.0,1287.0,2.0,21:25,21:27
P124_C123_D2,2022,154,1284.0,1286.0,2.0,21:24,21:26
P124_C123_D2,2023,121,1284.0,1286.0,2.0,21:24,21:26
P124_C123_D2,2024,1,1281.0,1283.0,2.0,21:21,21:23
P124_C123_D2,2025,2,1286.5,1288.5,2.0,21:26,21:28
P124_C123_D2,2026,5,1284.0,1286.0,2.0,21:24,21:26
P124_C123_D4,2021,56,1283.0,1286.0,3.0,21:23,21:26
P124_C123_D4,2022,111,1284.0,1287.0,3.0,21:24,21:27
P124_C123_D4,2023,57,1284.0,1287.0,3.0,21:24,21:27
P124_C123_D4,2026,1,1283.0,1286.0,3.0,21:23,21:26
P124_C123_D6,2021,9,1282.0,1288.0,6.0,21:22,21:28
P124_C123_D6,2022,9,1282.0,1288.0,6.0,21:22,21:28
P124_C123_D6,2023,3,1282.0,1288.0,6.0,21:22,21:28
P125_C124_D2,2021,77,1295.0,1297.0,2.0,21:35,21:37
P125_C124_D2,2022,195,1294.0,1296.0,2.0,21:34,21:36
P125_C124_D2,2023,57,1294.0,1296.0,2.0,21:34,21:36
P125_C124_D2,2024,1,1290.0,1292.0,2.0,21:30,21:32
P125_C124_D2,2026,1,1294.0,1296.0,2.0,21:34,21:36
P125_C124_D4,2021,38,1294.0,1297.0,3.0,21:34,21:37
P125_C124_D4,2022,75,1295.0,1298.0,3.0,21:35,21:38
P125_C124_D4,2023,10,1293.5,1297.5,3.0,21:34,21:38
P125_C124_D4,2024,1,1292.0,1295.0,3.0,21:32,21:35
P125_C125_D4,2021,6,1299.0,1302.0,3.5,21:39,21:42
P125_C125_D4,2022,16,1299.0,1302.0,3.0,21:39,21:42
P125_C125_D4,2023,2,1297.5,1302.0,4.5,21:38,21:42
P126_C125_D2,2021,51,1305.0,1307.0,2.0,21:45,21:47
P126_C125_D2,2022,169,1305.0,1307.0,2.0,21:45,21:47
P126_C125_D2,2023,59,1305.0,1307.0,2.0,21:45,21:47
P126_C125_D2,2024,1,1305.0,1307.0,2.0,21:45,21:47
P126_C125_D4,2021,28,1305.0,1308.0,3.0,21:45,21:48
P126_C125_D4,2022,80,1303.0,1306.5,3.0,21:43,21:46
P126_C125_D4,2023,17,1303.0,1308.0,3.0,21:43,21:48
P126_C125_D4,2024,1,1306.0,1309.0,3.0,21:46,21:49
P127_C126_D2,2021,41,1314.0,1316.0,2.0,21:54,21:56
P127_C126_D2,2022,159,1314.0,1316.0,2.0,21:54,21:56
P127_C126_D2,2023,75,1317.0,1319.0,2.0,21:57,21:59
P127_C126_D2,2024,32,1319.0,1321.0,2.0,21:59,22:01
