boundary_family,occurrences,unique_dates,unique_years,unique_weekdays,median_gap_minutes,min_gap_minutes,max_gap_minutes,median_previous_minute,median_current_minute,first_seen,last_seen,year_persistence,date_persistence,weekday_persistence,persistence_score,boundary_strength
P122_C121_D2,489,359,6,6,2.0,2.0,2.0,1263.0,1265.0,2021-08-17 21:07:00,2026-08-12 21:01:00,1.0,0.7341513292433538,1.2,0.9602453987730062,469.56
P128_C127_D2,474,334,6,5,2.0,2.0,2.0,1323.0,1325.0,2021-08-17 22:03:00,2026-02-26 22:03:00,1.0,0.7046413502109705,1.0,0.9113924050632911,432.0
P123_C122_D2,396,275,6,6,2.0,2.0,2.0,1275.0,1277.0,2021-08-18 21:11:00,2026-05-07 21:15:00,1.0,0.6944444444444444,1.2,0.9483333333333333,375.53999999999996
P124_C123_D2,367,269,6,6,2.0,2.0,2.0,1284.0,1286.0,2021-08-18 21:20:00,2026-05-07 21:27:00,1.0,0.7329700272479565,1.2,0.9598910081743869,352.28
P127_C126_D2,345,280,6,6,2.0,2.0,2.0,1316.0,1318.0,2021-08-22 21:52:00,2026-03-05 21:59:00,1.0,0.8115942028985508,1.2,0.9834782608695652,339.3
P121_C120_D2,302,279,6,5,2.0,2.0,2.0,1259.0,1261.0,2021-08-17 20:53:00,2026-08-12 20:59:00,1.0,0.9238410596026491,1.0,0.9771523178807946,295.09999999999997
P125_C124_D2,331,230,5,6,2.0,2.0,2.0,1294.0,1296.0,2021-08-17 21:33:00,2026-06-14 21:34:00,0.8333333333333334,0.6948640483383686,1.2,0.8651258811681772,286.3566666666667
P122_C121_D4,278,239,6,6,3.0,3.0,5.0,1262.0,1265.0,2021-08-19 21:01:00,2026-08-10 21:02:00,1.0,0.8597122302158273,1.2,0.9979136690647481,277.41999999999996
P130_C129_D2,369,254,4,5,2.0,2.0,2.0,1344.0,1346.0,2021-08-17 22:26:00,2024-08-29 22:26:00,0.6666666666666666,0.6883468834688347,1.0,0.7398373983739837,272.99999999999994
P129_C128_D2,331,228,5,5,2.0,2.0,2.0,1334.0,1336.0,2021-08-17 22:19:00,2026-02-03 22:13:00,0.8333333333333334,0.6888217522658611,1.0,0.823313192346425,272.51666666666665
P132_C131_D2,353,239,4,5,2.0,2.0,2.0,1365.0,1367.0,2021-08-17 22:49:00,2024-08-29 22:49:00,0.6666666666666666,0.6770538243626062,1.0,0.7364494806421151,259.96666666666664
P131_C130_D2,350,236,4,5,2.0,2.0,2.0,1355.0,1357.0,2021-08-17 22:31:00,2024-08-21 22:38:00,0.6666666666666666,0.6742857142857143,1.0,0.7356190476190476,257.46666666666664
P126_C125_D2,280,214,4,6,2.0,2.0,2.0,1305.0,1307.0,2021-08-22 21:45:00,2024-08-19 21:45:00,0.6666666666666666,0.7642857142857142,1.2,0.8026190476190476,224.73333333333332
P136_C135_D2,292,206,4,5,2.0,2.0,2.0,1404.0,1406.0,2021-08-17 23:20:00,2024-08-26 23:28:00,0.6666666666666666,0.7054794520547946,1.0,0.7449771689497717,217.53333333333333
P133_C132_D2,275,205,4,5,2.0,2.0,2.0,1374.0,1376.0,2021-08-17 22:55:00,2024-08-27 22:53:00,0.6666666666666666,0.7454545454545455,1.0,0.7569696969696968,208.16666666666663
P138_C137_D2,280,193,4,5,2.0,2.0,2.0,1425.0,1427.0,2021-08-17 23:45:00,2024-08-27 23:46:00,0.6666666666666666,0.6892857142857143,1.0,0.7401190476190476,207.23333333333332
P137_C136_D2,270,194,4,5,2.0,2.0,2.0,1414.0,1416.0,2021-08-22 23:31:00,2024-08-18 23:38:00,0.6666666666666666,0.7185185185185186,1.0,0.7488888888888889,202.20000000000002
P123_C122_D4,210,173,5,6,3.0,3.0,5.0,1273.0,1277.0,2021-08-18 21:14:00,2026-05-10 21:16:00,0.8333333333333334,0.8238095238095238,1.2,0.9038095238095238,189.8
P128_C127_D4,195,164,6,5,3.0,3.0,5.0,1324.0,1327.0,2021-08-19 22:06:00,2026-03-04 22:02:00,1.0,0.841025641025641,1.0,0.9523076923076923,185.7
P124_C123_D4,225,184,4,6,3.0,3.0,5.0,1283.0,1287.0,2021-08-17 21:21:00,2026-04-05 21:23:00,0.6666666666666666,0.8177777777777778,1.2,0.8186666666666667,184.2
P134_C133_D2,240,173,4,5,2.0,2.0,2.0,1384.0,1386.0,2021-08-17 23:00:00,2024-08-29 23:02:00,0.6666666666666666,0.7208333333333333,1.0,0.7495833333333333,179.89999999999998
P119_C118_D2,242,169,4,5,2.0,2.0,2.0,1234.0,1236.0,2021-08-17 20:36:00,2024-08-30 20:30:00,0.6666666666666666,0.6983471074380165,1.0,0.7428374655647383,179.76666666666665
P135_C134_D2,259,182,3,5,2.0,2.0,2.0,1394.0,1396.0,2021-08-17 23:10:00,2023-06-14 23:14:00,0.5,0.7027027027027027,1.0,0.6608108108108108,171.15
P120_C119_D2,201,153,4,5,2.0,2.0,2.0,1245.0,1247.0,2021-08-17 20:41:00,2024-08-30 20:47:00,0.6666666666666666,0.7611940298507462,1.0,0.7616915422885571,153.09999999999997
P139_C138_D2,213,166,3,5,2.0,2.0,2.0,1433.0,1435.0,2021-08-17 23:52:00,2023-06-15 23:52:00,0.5,0.7793427230046949,1.0,0.6838028169014085,145.65
