boundary_family,previous_year,occurrences,median_previous_minute,median_current_minute,median_gap_minutes,previous_time,current_time
P30_C35_D64,2021,11,1258.0,1321.0,63.0,20:58,22:01
P30_C35_D64,2022,131,1257.0,1321.0,64.0,20:57,22:01
P30_C35_D64,2023,130,1257.0,1321.0,64.0,20:57,22:01
P30_C35_D64,2024,131,1257.0,1321.0,64.0,20:57,22:01
P30_C35_D64,2025,128,1257.0,1322.0,65.0,20:57,22:02
P30_C35_D64,2026,88,1257.0,1320.0,63.0,20:57,22:00
P33_C39_D64,2021,30,1318.0,1381.0,63.0,21:58,23:01
P33_C39_D64,2022,67,1318.0,1381.0,63.0,21:58,23:01
P33_C39_D64,2023,67,1317.0,1381.0,64.0,21:57,23:01
P33_C39_D64,2024,67,1317.0,1381.0,64.0,21:57,23:01
P33_C39_D64,2025,59,1317.0,1381.0,64.0,21:57,23:01
P33_C39_D64,2026,29,1317.0,1381.0,64.0,21:57,23:01
P41_C1_D2,2023,5,1438.0,0.0,2.0,23:58,00:00
P41_C1_D2,2024,45,1438.0,0.0,2.0,23:58,00:00
