Datetime,Open,High,Low,Close,M1_Count,Expected_M1,Missing_M1,Status,GapCause
2021-08-17 00:00:00,1.38404,1.38404,1.38355,1.38383,15,15,0,COMPLETE,
2021-08-17 00:15:00,1.38384,1.38405,1.38363,1.38381,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 00:30:00,1.38383,1.38383,1.38351,1.3836,15,15,0,COMPLETE,
2021-08-17 00:45:00,1.38362,1.38366,1.38333,1.3835,15,15,0,COMPLETE,
2021-08-17 01:00:00,1.38349,1.38366,1.3833,1.38343,15,15,0,COMPLETE,
2021-08-17 01:15:00,1.38347,1.38356,1.38322,1.38333,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 01:30:00,1.38332,1.38332,1.3822,1.38285,15,15,0,COMPLETE,
2021-08-17 01:45:00,1.38288,1.38317,1.38272,1.38285,15,15,0,COMPLETE,
2021-08-17 02:00:00,1.38286,1.38303,1.38278,1.38285,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 02:15:00,1.38286,1.38301,1.38277,1.38285,15,15,0,COMPLETE,
2021-08-17 02:30:00,1.38287,1.38295,1.38204,1.38237,15,15,0,COMPLETE,
2021-08-17 02:45:00,1.38236,1.38253,1.38225,1.38233,15,15,0,COMPLETE,
2021-08-17 03:00:00,1.38236,1.38245,1.38195,1.3821,15,15,0,COMPLETE,
2021-08-17 03:15:00,1.38212,1.38215,1.38145,1.38148,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 03:30:00,1.38146,1.38186,1.38142,1.38166,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 03:45:00,1.38165,1.38172,1.38146,1.38153,12,15,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 04:00:00,1.3815,1.38172,1.38142,1.38166,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 04:15:00,1.38164,1.38185,1.38163,1.38176,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 04:30:00,1.38175,1.38175,1.38147,1.38167,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 04:45:00,1.38169,1.38199,1.38169,1.38187,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 05:00:00,1.38188,1.38193,1.38164,1.38173,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 05:15:00,1.38176,1.38246,1.38176,1.38238,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 05:30:00,1.38242,1.38293,1.38223,1.38291,15,15,0,COMPLETE,
2021-08-17 05:45:00,1.38289,1.38296,1.38234,1.38238,15,15,0,COMPLETE,
2021-08-17 06:00:00,1.38237,1.38274,1.38154,1.38166,15,15,0,COMPLETE,
2021-08-17 06:15:00,1.38166,1.38175,1.38084,1.38093,15,15,0,COMPLETE,
2021-08-17 06:30:00,1.38097,1.3817,1.38045,1.38109,15,15,0,COMPLETE,
2021-08-17 06:45:00,1.38105,1.38111,1.37984,1.3799,15,15,0,COMPLETE,
2021-08-17 07:00:00,1.37989,1.37989,1.37866,1.37904,15,15,0,COMPLETE,
2021-08-17 07:15:00,1.37903,1.38086,1.37882,1.38076,15,15,0,COMPLETE,
2021-08-17 07:30:00,1.38077,1.3814,1.38064,1.38089,15,15,0,COMPLETE,
2021-08-17 07:45:00,1.38086,1.38086,1.3796,1.37992,15,15,0,COMPLETE,
2021-08-17 08:00:00,1.37995,1.38051,1.37976,1.38025,15,15,0,COMPLETE,
2021-08-17 08:15:00,1.38023,1.38111,1.37975,1.38107,15,15,0,COMPLETE,
2021-08-17 08:30:00,1.38108,1.38129,1.38043,1.38045,15,15,0,COMPLETE,
2021-08-17 08:45:00,1.38044,1.38094,1.3803,1.38093,15,15,0,COMPLETE,
2021-08-17 09:00:00,1.38089,1.38115,1.38036,1.38043,15,15,0,COMPLETE,
2021-08-17 09:15:00,1.38041,1.38054,1.37997,1.38035,15,15,0,COMPLETE,
2021-08-17 09:30:00,1.38032,1.38057,1.38008,1.38045,15,15,0,COMPLETE,
2021-08-17 09:45:00,1.38047,1.38058,1.38,1.38005,15,15,0,COMPLETE,
