Datetime,Open,High,Low,Close,M1_Count,Expected_M1,Missing_M1,Status,GapCause
2021-08-17 00:00:00,1.38404,1.38405,1.38142,1.38153,231,240,9,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 04:00:00,1.3815,1.38296,1.37866,1.37992,230,240,10,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 08:00:00,1.37995,1.38129,1.37848,1.37882,240,240,0,COMPLETE,
2021-08-17 12:00:00,1.37884,1.37954,1.37334,1.37376,236,240,4,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 16:00:00,1.37377,1.37452,1.37257,1.37383,236,240,4,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 20:00:00,1.3738,1.37416,1.37225,1.37395,185,240,55,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-18 00:00:00,1.37397,1.37583,1.37369,1.37527,230,240,10,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-18 04:00:00,1.37526,1.37542,1.37305,1.37412,227,240,13,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-18 08:00:00,1.37414,1.37687,1.37376,1.37685,238,240,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-18 12:00:00,1.37684,1.37703,1.37454,1.37466,240,240,0,COMPLETE,
2021-08-18 16:00:00,1.37464,1.37848,1.37445,1.37571,235,240,5,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-18 20:00:00,1.37569,1.37578,1.37426,1.37426,203,240,37,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-19 00:00:00,1.37428,1.37492,1.37109,1.37196,238,240,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-19 04:00:00,1.37197,1.37226,1.36885,1.36962,228,240,12,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-19 08:00:00,1.36964,1.36985,1.3665,1.3681,240,240,0,COMPLETE,
2021-08-19 12:00:00,1.36811,1.36937,1.36515,1.36709,240,240,0,COMPLETE,
2021-08-19 16:00:00,1.36707,1.36728,1.36315,1.36339,235,240,5,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-19 20:00:00,1.36338,1.36387,1.36273,1.36296,205,240,35,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-20 00:00:00,1.36298,1.36404,1.36159,1.36293,237,240,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-20 04:00:00,1.36294,1.36346,1.36079,1.36175,233,240,7,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-20 08:00:00,1.36173,1.36295,1.36057,1.36112,237,240,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-20 12:00:00,1.3611,1.36356,1.36016,1.36253,240,240,0,COMPLETE,
2021-08-20 16:00:00,1.36255,1.36336,1.36182,1.36247,219,240,21,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-20 20:00:00,1.36245,1.36278,1.36218,1.3623,59,240,181,EXPECTED_INCOMPLETE,EXPECTED
2021-08-21 00:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-21 04:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-21 08:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-21 12:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-21 16:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-21 20:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-22 00:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-22 04:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-22 08:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-22 12:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-22 16:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-22 20:00:00,1.36173,1.36296,1.36105,1.3624,143,240,97,EXPECTED_INCOMPLETE,EXPECTED
2021-08-23 00:00:00,1.36242,1.36538,1.36242,1.36478,232,240,8,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-23 04:00:00,1.36476,1.36617,1.36303,1.3649,227,240,13,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-23 08:00:00,1.36491,1.36852,1.36445,1.36818,240,240,0,COMPLETE,
2021-08-23 12:00:00,1.36816,1.37209,1.36797,1.37156,239,240,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-23 16:00:00,1.37153,1.37317,1.37152,1.37278,209,240,31,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-23 20:00:00,1.3728,1.37301,1.37114,1.37227,146,240,94,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-24 00:00:00,1.3723,1.37255,1.37103,1.37165,206,240,34,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-24 04:00:00,1.37163,1.37472,1.37135,1.37162,213,240,27,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-24 08:00:00,1.37159,1.37319,1.36932,1.37206,238,240,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-24 12:00:00,1.37205,1.3747,1.37061,1.37145,239,240,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-24 16:00:00,1.37144,1.37314,1.37114,1.3731,215,240,25,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-24 20:00:00,1.37311,1.37319,1.37216,1.37243,172,240,68,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-25 00:00:00,1.37244,1.37315,1.37134,1.37182,228,240,12,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-25 04:00:00,1.37184,1.37262,1.37061,1.37183,220,240,20,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-25 08:00:00,1.37182,1.37427,1.37115,1.37149,238,240,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-25 12:00:00,1.3715,1.37361,1.36962,1.37214,238,240,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-25 16:00:00,1.37213,1.37664,1.37205,1.37598,231,240,9,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-25 20:00:00,1.37595,1.37646,1.3751,1.37638,188,240,52,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-26 00:00:00,1.3764,1.37675,1.37492,1.37513,213,240,27,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-26 04:00:00,1.37514,1.37586,1.37374,1.37473,216,240,24,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-26 08:00:00,1.37472,1.37495,1.37309,1.37338,238,240,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-26 12:00:00,1.37336,1.37359,1.37091,1.37115,240,240,0,COMPLETE,
2021-08-26 16:00:00,1.37117,1.37157,1.36884,1.36999,233,240,7,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-26 20:00:00,1.36997,1.37025,1.3692,1.36999,174,240,66,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-27 00:00:00,1.37,1.37,1.36793,1.3697,224,240,16,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-27 04:00:00,1.36966,1.37197,1.36948,1.37154,223,240,17,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-27 08:00:00,1.37157,1.37211,1.36934,1.37198,240,240,0,COMPLETE,
2021-08-27 12:00:00,1.37196,1.37806,1.37017,1.37672,240,240,0,COMPLETE,
2021-08-27 16:00:00,1.37673,1.37793,1.37615,1.37635,233,240,7,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-27 20:00:00,1.37633,1.37647,1.37553,1.3759,57,240,183,UNEXPECTED_INCOMPLETE,EXPECTED|UNEXPECTED
2021-08-28 00:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-28 04:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-28 08:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-28 12:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-28 16:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-28 20:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-29 00:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-29 04:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-29 08:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-29 12:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-29 16:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-29 20:00:00,1.37533,1.37654,1.37465,1.37621,147,240,93,EXPECTED_INCOMPLETE,EXPECTED
2021-08-30 00:00:00,1.37623,1.37747,1.37557,1.37692,226,240,14,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-30 04:00:00,1.3769,1.37746,1.37505,1.37659,221,240,19,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-30 08:00:00,1.37664,1.37715,1.37479,1.37596,240,240,0,COMPLETE,
2021-08-30 12:00:00,1.37595,1.37674,1.37332,1.37575,240,240,0,COMPLETE,
2021-08-30 16:00:00,1.37574,1.3767,1.37531,1.37605,214,240,26,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-30 20:00:00,1.37601,1.37615,1.37501,1.37583,175,240,65,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-31 00:00:00,1.37585,1.37771,1.37554,1.37758,227,240,13,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-31 04:00:00,1.37757,1.38007,1.3774,1.37837,237,240,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-31 08:00:00,1.37835,1.37917,1.37588,1.3788,240,240,0,COMPLETE,
2021-08-31 12:00:00,1.37881,1.38071,1.37424,1.37475,240,240,0,COMPLETE,
2021-08-31 16:00:00,1.37474,1.37591,1.37443,1.37481,235,240,5,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-31 20:00:00,1.37478,1.37579,1.37458,1.37518,183,240,57,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-09-01 00:00:00,1.37519,1.37555,1.37307,1.37368,225,240,15,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-09-01 04:00:00,1.3737,1.37645,1.3731,1.37559,231,240,9,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-09-01 08:00:00,1.37557,1.37647,1.37435,1.3757,240,240,0,COMPLETE,
2021-09-01 12:00:00,1.37568,1.37979,1.37568,1.37888,240,240,0,COMPLETE,
2021-09-01 16:00:00,1.3789,1.37936,1.37674,1.3769,235,240,5,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-09-01 20:00:00,1.37689,1.3773,1.37642,1.37707,169,240,71,UNEXPECTED_INCOMPLETE,EXPECTED|UNEXPECTED
2021-09-02 00:00:00,1.37709,1.378,1.37669,1.37739,204,240,36,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-09-02 04:00:00,1.37736,1.37911,1.37706,1.3789,208,240,32,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-09-02 08:00:00,1.37888,1.3801,1.37786,1.37896,240,240,0,COMPLETE,
2021-09-02 12:00:00,1.37898,1.38359,1.37813,1.3823,240,240,0,COMPLETE,
2021-09-02 16:00:00,1.38231,1.38394,1.38225,1.38362,231,240,9,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-09-02 20:00:00,1.38359,1.38375,1.38283,1.38357,171,240,69,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-09-03 00:00:00,1.38359,1.38448,1.38322,1.38344,232,240,8,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-09-03 04:00:00,1.38345,1.38377,1.38244,1.38251,229,240,11,UNEXPECTED_INCOMPLETE,UNEXPECTED
