previous,current,gap_minutes,classification,category
2021-08-17 00:23:00,2021-08-17 00:25:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 01:25:00,2021-08-17 01:27:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 02:04:00,2021-08-17 02:06:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 02:12:00,2021-08-17 02:14:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 03:16:00,2021-08-17 03:18:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 03:33:00,2021-08-17 03:35:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 03:44:00,2021-08-17 03:46:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 03:48:00,2021-08-17 03:50:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 03:55:00,2021-08-17 03:57:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:03:00,2021-08-17 04:05:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:08:00,2021-08-17 04:10:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:26:00,2021-08-17 04:28:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:28:00,2021-08-17 04:30:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:31:00,2021-08-17 04:33:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:56:00,2021-08-17 04:58:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:58:00,2021-08-17 05:00:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 05:11:00,2021-08-17 05:13:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 05:19:00,2021-08-17 05:21:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 05:21:00,2021-08-17 05:23:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 12:49:00,2021-08-17 12:53:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 12:53:00,2021-08-17 12:55:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 18:12:00,2021-08-17 18:15:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 18:26:00,2021-08-17 18:28:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 18:53:00,2021-08-17 18:55:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 20:10:00,2021-08-17 20:13:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 20:16:00,2021-08-17 20:18:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 20:20:00,2021-08-17 20:22:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 20:22:00,2021-08-17 20:24:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 20:25:00,2021-08-17 20:27:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 20:38:00,2021-08-17 20:40:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 20:40:00,2021-08-17 20:42:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 20:43:00,2021-08-17 20:45:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 21:02:00,2021-08-17 21:04:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 21:06:00,2021-08-17 21:09:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 21:16:00,2021-08-17 21:19:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 21:19:00,2021-08-17 21:21:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 21:21:00,2021-08-17 21:23:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 21:27:00,2021-08-17 21:30:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 21:31:00,2021-08-17 21:33:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 21:50:00,2021-08-17 21:52:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:08:00,2021-08-17 22:11:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:11:00,2021-08-17 22:13:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:13:00,2021-08-17 22:15:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:15:00,2021-08-17 22:18:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:18:00,2021-08-17 22:22:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:25:00,2021-08-17 22:28:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:28:00,2021-08-17 22:30:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:38:00,2021-08-17 22:43:00,5.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:46:00,2021-08-17 22:48:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:51:00,2021-08-17 22:53:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:53:00,2021-08-17 22:55:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 22:55:00,2021-08-17 22:57:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:09:00,2021-08-17 23:12:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:12:00,2021-08-17 23:14:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:20:00,2021-08-17 23:22:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:27:00,2021-08-17 23:29:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:34:00,2021-08-17 23:36:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:36:00,2021-08-17 23:39:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:39:00,2021-08-17 23:43:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:43:00,2021-08-17 23:45:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:45:00,2021-08-17 23:47:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:50:00,2021-08-17 23:52:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 23:55:00,2021-08-17 23:57:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 00:42:00,2021-08-18 00:46:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 02:41:00,2021-08-18 02:43:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 02:53:00,2021-08-18 02:55:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 03:18:00,2021-08-18 03:20:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 03:31:00,2021-08-18 03:33:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 03:47:00,2021-08-18 03:49:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 03:49:00,2021-08-18 03:51:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 03:58:00,2021-08-18 04:00:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 04:02:00,2021-08-18 04:06:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 04:09:00,2021-08-18 04:11:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 04:15:00,2021-08-18 04:17:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 04:19:00,2021-08-18 04:21:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 04:26:00,2021-08-18 04:28:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 04:39:00,2021-08-18 04:41:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 04:45:00,2021-08-18 04:47:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 05:00:00,2021-08-18 05:02:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 05:08:00,2021-08-18 05:10:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 05:45:00,2021-08-18 05:47:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 06:45:00,2021-08-18 06:47:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 08:22:00,2021-08-18 08:24:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 10:42:00,2021-08-18 10:44:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 16:03:00,2021-08-18 16:05:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 16:43:00,2021-08-18 16:45:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 17:42:00,2021-08-18 17:44:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 17:47:00,2021-08-18 17:49:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 19:25:00,2021-08-18 19:27:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 20:31:00,2021-08-18 20:33:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 21:00:00,2021-08-18 21:04:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 21:36:00,2021-08-18 21:39:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 21:45:00,2021-08-18 21:47:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 22:06:00,2021-08-18 22:11:00,5.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 22:15:00,2021-08-18 22:20:00,5.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 22:20:00,2021-08-18 22:22:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 22:22:00,2021-08-18 22:24:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 22:24:00,2021-08-18 22:26:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 22:26:00,2021-08-18 22:28:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 22:28:00,2021-08-18 22:31:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 22:42:00,2021-08-18 22:44:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 22:45:00,2021-08-18 22:49:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 22:54:00,2021-08-18 22:56:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 23:10:00,2021-08-18 23:12:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 23:13:00,2021-08-18 23:15:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 23:18:00,2021-08-18 23:20:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 23:22:00,2021-08-18 23:24:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 23:30:00,2021-08-18 23:32:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 23:33:00,2021-08-18 23:35:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 23:35:00,2021-08-18 23:37:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 23:38:00,2021-08-18 23:41:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-18 23:43:00,2021-08-18 23:46:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 00:20:00,2021-08-19 00:22:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 03:55:00,2021-08-19 03:57:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 04:08:00,2021-08-19 04:11:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 04:15:00,2021-08-19 04:17:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 04:19:00,2021-08-19 04:21:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 04:24:00,2021-08-19 04:28:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 04:45:00,2021-08-19 04:47:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 05:06:00,2021-08-19 05:08:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 05:12:00,2021-08-19 05:15:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 05:39:00,2021-08-19 05:41:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 16:52:00,2021-08-19 16:54:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 17:31:00,2021-08-19 17:33:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 17:38:00,2021-08-19 17:40:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 18:04:00,2021-08-19 18:06:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 18:07:00,2021-08-19 18:09:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 20:14:00,2021-08-19 20:16:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 20:17:00,2021-08-19 20:19:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 20:23:00,2021-08-19 20:25:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 20:26:00,2021-08-19 20:28:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 20:34:00,2021-08-19 20:36:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 21:01:00,2021-08-19 21:03:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 21:03:00,2021-08-19 21:05:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 21:10:00,2021-08-19 21:13:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 21:18:00,2021-08-19 21:21:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 21:23:00,2021-08-19 21:25:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 21:26:00,2021-08-19 21:28:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 21:32:00,2021-08-19 21:34:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 22:08:00,2021-08-19 22:10:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 22:12:00,2021-08-19 22:14:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 22:15:00,2021-08-19 22:17:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 22:33:00,2021-08-19 22:35:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 22:35:00,2021-08-19 22:37:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 22:37:00,2021-08-19 22:39:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-19 22:39:00,2021-08-19 22:41:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
