previous,current,gap_minutes,classification,category
2021-08-17 00:08:00,2021-08-17 00:10:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 00:23:00,2021-08-17 00:25:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 00:41:00,2021-08-17 00:43:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 00:52:00,2021-08-17 00:54:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 00:56:00,2021-08-17 01:00:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 01:03:00,2021-08-17 01:05:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 01:08:00,2021-08-17 01:10:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 01:20:00,2021-08-17 01:22:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 02:03:00,2021-08-17 02:06:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 02:09:00,2021-08-17 02:11:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 02:11:00,2021-08-17 02:13:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 02:16:00,2021-08-17 02:18:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 02:20:00,2021-08-17 02:22:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 02:26:00,2021-08-17 02:28:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 02:54:00,2021-08-17 02:56:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 03:30:00,2021-08-17 03:32:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 03:36:00,2021-08-17 03:38:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 03:40:00,2021-08-17 03:43:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 03:50:00,2021-08-17 03:52:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:07:00,2021-08-17 04:09:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:11:00,2021-08-17 04:13:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:15:00,2021-08-17 04:17:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:19:00,2021-08-17 04:21:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:27:00,2021-08-17 04:30:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:30:00,2021-08-17 04:33:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-17 04:36:00,2021-08-17 04:38:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
