Datetime,Open,High,Low,Close,M1_Count,Expected_M1,Missing_M1,Status,GapCause
2021-08-17 00:00:00,1787.424,1788.631,1784.347,1785.925,240,240,0,COMPLETE,
2021-08-17 04:00:00,1785.957,1795.275,1785.412,1792.837,240,240,0,COMPLETE,
2021-08-17 08:00:00,1792.867,1795.519,1790.925,1791.272,240,240,0,COMPLETE,
2021-08-17 12:00:00,1791.227,1794.55,1780.495,1782.677,237,240,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 16:00:00,1782.674,1786.2,1782.102,1785.082,240,240,0,COMPLETE,
2021-08-17 20:00:00,1785.03,1786.835,1784.661,1786.126,179,240,61,EXPECTED_INCOMPLETE,EXPECTED
2021-08-18 00:00:00,1786.121,1792.177,1785.033,1790.174,240,240,0,COMPLETE,
2021-08-18 04:00:00,1790.127,1793.685,1787.833,1790.115,240,240,0,COMPLETE,
2021-08-18 08:00:00,1790.152,1790.218,1782.827,1786.982,240,240,0,COMPLETE,
2021-08-18 12:00:00,1787.029,1791.17,1777.122,1783.819,240,240,0,COMPLETE,
2021-08-18 16:00:00,1783.82,1790.28,1780.408,1786.448,240,240,0,COMPLETE,
2021-08-18 20:00:00,1786.403,1788.833,1785.347,1787.381,179,240,61,EXPECTED_INCOMPLETE,EXPECTED
2021-08-19 00:00:00,1787.379,1787.399,1774.043,1779.879,240,240,0,COMPLETE,
2021-08-19 04:00:00,1779.876,1782.516,1775.533,1781.403,240,240,0,COMPLETE,
2021-08-19 08:00:00,1781.414,1790.081,1777.778,1786.85,240,240,0,COMPLETE,
2021-08-19 12:00:00,1786.846,1792.366,1777.18,1783.145,240,240,0,COMPLETE,
2021-08-19 16:00:00,1783.114,1783.178,1776.336,1780.991,240,240,0,COMPLETE,
2021-08-19 20:00:00,1780.985,1781.683,1778.744,1778.962,179,240,61,EXPECTED_INCOMPLETE,EXPECTED
2021-08-20 00:00:00,1778.97,1785.57,1778.921,1785.185,240,240,0,COMPLETE,
2021-08-20 04:00:00,1785.193,1788.339,1783.958,1785.336,240,240,0,COMPLETE,
2021-08-20 08:00:00,1785.382,1787.077,1779.759,1784.523,240,240,0,COMPLETE,
2021-08-20 12:00:00,1784.478,1786.627,1778.279,1784.875,240,240,0,COMPLETE,
2021-08-20 16:00:00,1784.879,1786.621,1781.655,1782.334,240,240,0,COMPLETE,
2021-08-20 20:00:00,1782.419,1782.419,1780.262,1781.235,59,240,181,EXPECTED_INCOMPLETE,EXPECTED
2021-08-21 00:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-21 04:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-21 08:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-21 12:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-21 16:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-21 20:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-22 00:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-22 04:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-22 08:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
2021-08-22 12:00:00,,,,,0,240,240,SESSION_CLOSED_EXPECTED,EXPECTED
