Datetime,Direction,Pattern,Score,ADX,Close,SL,TP
2021-09-30 12:00:00,SELL,Bearish Pin Bar,7,28.668253605366743,1725.405,1728.523,1716.0510000000002
2021-10-04 11:30:00,SELL,Hanging Man,7,38.986336747359566,1750.769,1751.846,1747.538
2021-10-05 08:45:00,SELL,Three Black Crows,8,34.56058105535492,1755.722,1757.607,1750.067
2021-10-05 13:00:00,SELL,Three Black Crows,9,25.47186857678754,1753.326,1757.646,1740.3660000000002
2021-10-06 05:30:00,SELL,Evening Star,11,45.73360809986488,1751.892,1754.023,1745.4990000000005
2021-10-06 06:45:00,SELL,Bearish Inside Bar,8,40.54394211855134,1752.303,1754.441,1745.8890000000004
2021-10-06 07:45:00,SELL,Evening Star,11,43.35176589656538,1747.8,1750.736,1738.9919999999995
2021-10-06 09:30:00,SELL,Bearish Inside Bar,8,44.15201592473714,1748.128,1749.69,1743.4419999999996
2021-10-06 10:15:00,SELL,Hanging Man,7,40.54270136670926,1750.086,1751.085,1747.089
2021-10-11 23:45:00,SELL,Evening Star,8,26.4442760560126,1753.295,1754.883,1748.5310000000002
2021-10-14 07:30:00,BUY,Morning Star,9,28.60216655608967,1793.776,1790.15,1804.654
2021-10-14 12:45:00,BUY,Bullish Pin Bar,8,34.93238886204574,1798.948,1795.541,1809.1690000000006
2021-10-19 13:15:00,BUY,Bullish Inside Bar,6,25.03250564176345,1780.877,1777.944,1789.676
2021-10-25 14:45:00,BUY,Bullish Inside Bar,7,40.067862654081296,1806.982,1805.704,1810.816
2021-10-25 18:45:00,BUY,Bullish Engulfing,6,27.617715940656655,1808.09,1806.806,1811.9419999999996
2021-10-28 05:45:00,BUY,Bullish Pin Bar,8,32.79550633561092,1802.106,1800.366,1807.326
2021-10-28 08:00:00,BUY,Bullish Inside Bar,7,41.281769626871785,1802.752,1800.773,1808.689
2021-11-03 17:45:00,SELL,Bearish Inside Bar,7,49.842605845541996,1765.021,1766.427,1760.803
2021-11-08 15:15:00,BUY,Bullish Inside Bar,6,27.51453726099542,1821.938,1820.182,1827.2060000000004
2021-11-08 16:00:00,BUY,Bullish Engulfing,6,26.924658162767034,1822.445,1818.902,1833.0739999999996
